"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,"{{0.15839865145283347, 0.0015625242688572167}, {-6.083607002022659, 0.004432934969713769}}","{{0.15135177631092422, 0.0011237365646134053}, {-6.071862210119475, 0.003892511115942695}}","{{0.15062213878637234, 0.0008592898341698962}, {-6.070402935070379, 0.003450732126988212}}","{{0.1549322988564333, 0.0006990930642268912}, {-6.080459975233851, 0.003144510647965583}}","{{0.16221391034749755, 0.0005957966803044164}, {-6.0998776058766895, 0.002945975732739152}}","{{0.17106783291458477, 0.0005364582562255187}, {-6.126439373577954, 0.002817824665234756}}","{{0.18149347198665125, 0.0005026408684597239}, {-6.161191503818173, 0.0027433260484044574}}","{{0.1932371707609319, 0.0004779427649551185}, {-6.2042517326572035, 0.002679474812617229}}","{{0.21273127721665486, 0.00048678995631988066}, {-6.282228158480094, 0.002681782435824358}}","{{0.2301066741854889, 0.0006111911992372263}, {-6.357521545345038, 0.0030964956343673597}}","{{0.2436274029849489, 0.0007804739658825476}, {-6.420618279742521, 0.0037914531497440767}}","{{0.2595787772797632, 0.000985569406595434}, {-6.500375151216593, 0.004746797350241281}}","{{0.27295773223201397, 0.001354932559230405}, {-6.571729577628595, 0.006785006368786491}}","{{0.28256850620988777, 0.0017250311838174087}, {-6.626190630169884, 0.008991447631579014}}","{{0.2876209399124098, 0.0020752345212481714}, {-6.656488052546051, 0.01125305400534584}}","{{0.29408552453775016, 0.00226771270072472}, {-6.697558793226677, 0.012738288194835483}}","{{0.3003612691866826, 0.002603453966281435}, {-6.739399317967477, 0.015411272811313574}}"
2,"{{0, 0}, {0, 0}}","{{0.14104727118810653, 0.001090911768384128}, {-6.037513859710084, 0.004029913082009077}}","{{0.14510506746268648, 0.0008257609177104066}, {-6.048334649775634, 0.003449418159429638}}","{{0.1533461200902454, 0.000670742178637258}, {-6.073057807658312, 0.0030975511100353836}}","{{0.1635836616670614, 0.0005849641919339506}, {-6.107182946247694, 0.002945310107440508}}","{{0.17457591887629714, 0.0005369310290431611}, {-6.147487889348225, 0.002854711697537196}}","{{0.1867309462259528, 0.0005121616202511441}, {-6.196107998746845, 0.0028239719523139306}}","{{0.19992047267467375, 0.0004991785599301224}, {-6.253262613357971, 0.0028286809436327003}}","{{0.22197674003879192, 0.0005247790412074399}, {-6.356191861057191, 0.0029436988796590763}}","{{0.24083030685248086, 0.0006715305316044851}, {-6.450459695125637, 0.003561032962831901}}","{{0.25481721834068494, 0.0008651635237804957}, {-6.525056556396058, 0.0045297412884776666}}","{{0.2715011401645885, 0.0010944971748815362}, {-6.619598780064845, 0.005797469190049009}}","{{0.2850881796979002, 0.0015133783810324806}, {-6.701121017264712, 0.008463666732853014}}","{{0.29436299721070563, 0.001920819051215609}, {-6.759861528179149, 0.011214048046730861}}","{{0.2985727885645166, 0.002300172788404566}, {-6.7879102363713315, 0.013971910778832336}}","{{0.30451062741630586, 0.002493359761200862}, {-6.829610096355052, 0.01561867707464846}}","{{0.3103350413938169, 0.0028574035547786806}, {-6.872382947395933, 0.01883935205774468}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14763305991904466, 0.000929938118174959}, {-6.059289283753185, 0.0039592316642876905}}","{{0.15873064263220624, 0.0007244936793418748}, {-6.099980420368111, 0.0034174561980881914}}","{{0.17090939182296194, 0.0006276763369958362}, {-6.148695417131132, 0.003255329023341952}}","{{0.18312382471664385, 0.0005712121528148068}, {-6.201624626337085, 0.003141185709731665}}","{{0.19630945821181683, 0.0005475875916584772}, {-6.263157582647897, 0.0031346640843200857}}","{{0.21040173827625075, 0.000540977021327299}, {-6.333618982970064, 0.0032010961681801743}}","{{0.2350302282542684, 0.0005899206111678636}, {-6.464970929519498, 0.003506096716733258}}","{{0.25504381078759913, 0.0007722267125485097}, {-6.578381230541703, 0.0044633717219692455}}","{{0.26898952364909157, 0.0009937048975615398}, {-6.6620555077106545, 0.005769423261545488}}","{{0.2860920482255778, 0.0012475793725674866}, {-6.77037149669507, 0.007381992895315494}}","{{0.2995246464469393, 0.0017123905372011129}, {-6.859922151504147, 0.01066182099006636}}","{{0.3080620854974256, 0.002157257823431459}, {-6.919684224857551, 0.013989223447685058}}","{{0.3110060691283225, 0.00256145625745689}, {-6.941254029991601, 0.01721833366205125}}","{{0.3161335022278588, 0.0027574017302072987}, {-6.980707468905236, 0.019078034286355256}}","{{0.3212847237683833, 0.0031555764323900133}, {-7.022028606515009, 0.02296553188483011}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16850149907798453, 0.0008119357179472655}, {-6.152091654745599, 0.004097316066908675}}","{{0.18188419464123204, 0.0006793311029728067}, {-6.214544234040751, 0.0038081325679826155}}","{{0.19459447956507975, 0.0006221480117138534}, {-6.27809565865999, 0.0036877322116105507}}","{{0.2083517726091628, 0.0006012033816995546}, {-6.351467888228434, 0.0037027523938421183}}","{{0.2230297571499099, 0.0006033342579486106}, {-6.4346431339593355, 0.003847035823143122}}","{{0.2506583649040158, 0.0006815613704996519}, {-6.600414780483972, 0.0044022039277611625}}","{{0.271646490967032, 0.0009116314955684475}, {-6.733339578883069, 0.005822925076526779}}","{{0.28506081036493636, 0.001161320702812954}, {-6.822768374869099, 0.007488318066542213}}","{{0.30235083273426694, 0.0014393234621978225}, {-6.943798531454416, 0.009463227902734853}}","{{0.3153123999077401, 0.001957436463594745}, {-7.038850024059887, 0.013471593884317653}}","{{0.3227344059720235, 0.0024439612707220014}, {-7.095752070552725, 0.0174664733173854}}","{{0.3240024790094258, 0.0028719433258474936}, {-7.105875221818914, 0.021193407172675732}}","{{0.32808478234193106, 0.00307053449972204}, {-7.140057870426202, 0.02329625177795586}}","{{0.332391802847252, 0.0035081041714589136}, {-7.177527713619169, 0.02796684611797118}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.19538967009937236, 0.0007895899037406516}, {-6.300078911942307, 0.004926396565977077}}","{{0.2077023597560679, 0.0007103330156605092}, {-6.36985081999691, 0.004614139964870425}}","{{0.22171941794139324, 0.0006888443991314}, {-6.453953169108864, 0.004610571528019312}}","{{0.23683418221831043, 0.0007047321110124263}, {-6.549680009529339, 0.004876417983984378}}","{{0.26841255645404677, 0.0008185319263596597}, {-6.760202504434249, 0.005761080330075614}}","{{0.29020916614530956, 0.0011047813809459634}, {-6.912778772273088, 0.007765357693629816}}","{{0.3024794064809092, 0.0013824819465499518}, {-7.002760534734158, 0.009829372710304825}}","{{0.3197437141009107, 0.0016807853056153917}, {-7.135120226487503, 0.012164918708378608}}","{{0.33189958778471607, 0.0022605297682427713}, {-7.23236721595794, 0.01705009709906101}}","{{0.3377940635468854, 0.0027911355752290755}, {-7.281487847309356, 0.0217957617268853}}","{{0.33694025654990495, 0.0032417050232351917}, {-7.274066329845142, 0.026057081270095345}}","{{0.3397642223203572, 0.0034410581543945057}, {-7.299676883464691, 0.02842496773042236}}","{{0.343097946870428, 0.003921397684469601}, {-7.330982444618025, 0.03396874455764677}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.22028986478502893, 0.0008484712591135099}, {-6.462159190209292, 0.005830170892927833}}","{{0.23502169954853136, 0.0008151256733816006}, {-6.560371421965973, 0.0057751096791706265}}","{{0.25086145689336076, 0.0008277855638814966}, {-6.671249723379779, 0.006083710049518584}}","{{0.2882901976493262, 0.0010001794242356133}, {-6.945727155590188, 0.0075586654089217185}}","{{0.31063508405372775, 0.0013534955227956843}, {-7.117037951357272, 0.010315717991980056}}","{{0.3208664049961223, 0.0016517018355734305}, {-7.198888518896426, 0.012749633614093807}}","{{0.3378812257505204, 0.001972777306187892}, {-7.340678691849743, 0.01552164162806909}}","{{0.3488407718411666, 0.0026298850408745275}, {-7.435661424635344, 0.02153633740925399}}","{{0.3527267551861925, 0.0032102607005810007}, {-7.470635274740573, 0.02717014056381784}}","{{0.3492417475871677, 0.0036820440738666946}, {-7.4380862103419805, 0.03200973784430224}}","{{0.35061670444993054, 0.0038774509796592883}, {-7.451611633278717, 0.03463076647108319}}","{{0.3528897301451211, 0.004409244905855841}, {-7.474595265980191, 0.0412305282585165}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.24876394236159874, 0.0010269844362069892}, {-6.6748901120748645, 0.007707120350352041}}","{{0.2656524569723103, 0.0010087633403358903}, {-6.804368724090323, 0.007885558156857271}}","{{0.31213629399908277, 0.0012685505258807446}, {-7.176239420304505, 0.010289763520553835}}","{{0.3339807770883651, 0.001699413882300937}, {-7.358276779381852, 0.013978854121377494}}","{{0.34046513457583105, 0.0020059582737263055}, {-7.414474544273228, 0.016717715965319496}}","{{0.3568339781239044, 0.0023442369684757124}, {-7.561794136205889, 0.019928653942474967}}","{{0.3660172561517178, 0.0030983686272991855}, {-7.647504731132147, 0.027399466851345863}}","{{0.3672451393036401, 0.00373180323132133}, {-7.659374268267394, 0.03405049503842048}}","{{0.3604865475723025, 0.004218698808465309}, {-7.591765143472149, 0.03946586929620809}}","{{0.3602302795646518, 0.004404982309947096}, {-7.589406209923055, 0.042336051579726586}}","{{0.36138853395543424, 0.005001668616708326}, {-7.60207732313489, 0.05026763152377387}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2824818062675828, 0.001309458956042673}, {-6.9614426508462, 0.011014640485384699}}","{{0.343792887160104, 0.001691022716382412}, {-7.492805351914723, 0.014744197116959765}}","{{0.36171252622068684, 0.0021761277832462573}, {-7.654082103459959, 0.01920553389382932}}","{{0.36111441982653986, 0.002458326443959625}, {-7.648499777114591, 0.02196064087364616}}","{{0.37626028003099926, 0.002817767785642271}, {-7.794909759091032, 0.025744725110265907}}","{{0.3828828020889943, 0.003692084523203108}, {-7.86113497967098, 0.03506385135835049}}","{{0.3806356490663932, 0.004372513785443766}, {-7.837914398437432, 0.042750254918039306}}","{{0.3698466096439271, 0.004865282209108318}, {-7.7228060124749005, 0.048707293038072}}","{{0.3678600067393059, 0.005035229134125052}, {-7.701308875151318, 0.051806807445183144}}","{{0.367955895566402, 0.005721010847024412}, {-7.702776867836392, 0.061513287774440414}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.3903358895023089, 0.0024644715433221305}, {-7.973749709450837, 0.02309857737719742}}","{{0.3939438469220935, 0.002892064897961438}, {-8.008626631175431, 0.027292821188851155}}","{{0.38021396968971793, 0.0030498293614373228}, {-7.871327858851664, 0.029040707801388888}}","{{0.3940419333412749, 0.0034339673843263667}, {-8.014216816584424, 0.03358011757700966}}","{{0.3974761321843321, 0.004461361788636376}, {-8.050848270910372, 0.04530583871891912}}","{{0.3910188583822444, 0.005171173050871226}, {-7.979818259087406, 0.05391472119475562}}","{{0.3755229485681767, 0.005649681146358598}, {-7.804166870389142, 0.060244709877950046}}","{{0.3720259137110268, 0.005794533324320988}, {-7.763797479727136, 0.0635465751475983}}","{{0.37139927263302597, 0.00660775429858921}, {-7.756723108546835, 0.07571850495730062}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.42663156453298307, 0.00410291360265831}, {-8.379087430765516, 0.041324873048666375}}","{{0.3896928898789839, 0.003850267301579287}, {-7.985074901122858, 0.03894964416787032}}","{{0.4052604709154566, 0.004271109538807472}, {-8.156318292524059, 0.04463046030188242}}","{{0.40609989018146886, 0.005509358559360807}, {-8.165831710872197, 0.059708813838545885}}","{{0.3953337501510319, 0.006194666054900128}, {-8.040226743850432, 0.06865622413579761}}","{{0.37488252996239907, 0.006624574862035455}, {-7.794774064171068, 0.07502201055484974}}","{{0.37078709041269203, 0.006703782471333312}, {-7.744802189152664, 0.0780622979440134}}","{{0.37031376710309466, 0.007715332707018811}, {-7.739355020067936, 0.09392748446615108}}"
