"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"{{0.1419070982663967, 0.0017800029060747347}, {-6.100121601348248, 0.005043744536130478}}","{{0.13469116469930478, 0.0012020740716730848}, {-6.088095045403094, 0.004309290850365198}}","{{0.13482540370900872, 0.0008970596063866144}, {-6.0883635234225, 0.003844024916044211}}","{{0.13949872070765415, 0.00072529069598753}, {-6.099267929752675, 0.003554977014212201}}","{{0.1469206828457069, 0.0006092874025718888}, {-6.119059828787482, 0.003321036452409852}}","{{0.15581243630950678, 0.0005323353663403614}, {-6.145735089178884, 0.0031299606830092423}}","{{0.1655579578186197, 0.00048279929086837}, {-6.178220160875925, 0.002991784370904127}}","{{0.17542305156287685, 0.00045208941753323653}, {-6.214392171271536, 0.002870590138280427}}","{{0.18530465735217005, 0.00044782420817855506}, {-6.253918594428709, 0.0027989376085938607}}","{{0.19498416182759473, 0.0004591964890231268}, {-6.295863113822215, 0.0027855548478925105}}","{{0.20465789089108, 0.0005151486406718965}, {-6.341007182785148, 0.002919900121801733}}","{{0.21467566974199606, 0.0005921402552072131}, {-6.3910960770397285, 0.003231546837680763}}","{{0.22514600442951158, 0.0007608052327854018}, {-6.4469378620398095, 0.004114879743975586}}","{{0.235827950419263, 0.0010012146967214538}, {-6.507468889315065, 0.005428182655000968}}","{{0.24621569286651387, 0.001341690373914698}, {-6.5697953439985755, 0.007576344552229674}}","{{0.25566695761515246, 0.0019145341895624882}, {-6.629653354073283, 0.011263565797441236}}","{{0.2646076840431791, 0.0025790230882206406}, {-6.689248009641177, 0.016000860300598902}}","{{0.27287731408988997, 0.00365477797446024}, {-6.746892016295798, 0.02404494924117116}}"
2,"{{0, 0}, {0, 0}}","{{0.12309211310666768, 0.001015391280003382}, {-6.049431540094305, 0.0041340717930965915}}","{{0.12909299741754082, 0.0007900086136884537}, {-6.065433898256632, 0.0037136953567019153}}","{{0.1379286037322309, 0.0006887546092317427}, {-6.0919407172007025, 0.0035484854611639097}}","{{0.14834792557477652, 0.0005997143596446953}, {-6.12667179000919, 0.0033534672304572047}}","{{0.15937239639135525, 0.0005329081108576639}, {-6.167094849669975, 0.0031644482885824403}}","{{0.17066430825728507, 0.0004866260982905976}, {-6.212262497133694, 0.0030217043760184066}}","{{0.18158690051389625, 0.00046272376911724326}, {-6.25959373024568, 0.0029152447480170897}}","{{0.19221205767084343, 0.0004641264518525678}, {-6.309177796978097, 0.0028618474472137754}}","{{0.2023955810838601, 0.00048566375779166194}, {-6.360095414043181, 0.002919434619095848}}","{{0.21244636178188134, 0.0005542670982795889}, {-6.413699577765961, 0.0031716732279657095}}","{{0.2228071110882, 0.0006450896040625846}, {-6.472410490501767, 0.003658737637965881}}","{{0.23361157339590297, 0.0008352282054555565}, {-6.537237264347981, 0.00483729794147463}}","{{0.24458903632210233, 0.0011047723485941383}, {-6.606761196213918, 0.0065554131401967496}}","{{0.25518011083740455, 0.0014795932050272916}, {-6.677368359649262, 0.009207693286342461}}","{{0.26468865167754235, 0.002111042899550083}, {-6.743928145530228, 0.013746242594673072}}","{{0.27362030257764075, 0.00283461828968504}, {-6.809416256767331, 0.01941491045375181}}","{{0.28181363944561283, 0.004000086551370987}, {-6.872000571275921, 0.028888705768108532}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13361035445279043, 0.0007678267339152763}, {-6.0850091120760466, 0.003786629150479593}}","{{0.1446050854072028, 0.0006831866547676674}, {-6.125323125575563, 0.003668346635552189}}","{{0.15652154331677598, 0.000606861236795871}, {-6.172988957213854, 0.003501170998787935}}","{{0.16849629849154915, 0.0005414125417430503}, {-6.224879562971202, 0.0032930155633818237}}","{{0.18040764171911808, 0.0004979524301221561}, {-6.280465831366526, 0.00315216144078086}}","{{0.1916250486744224, 0.00048299038179936717}, {-6.336552866143046, 0.0030841946170536766}}","{{0.20238065227501997, 0.0004919997226913742}, {-6.3939160853462385, 0.003071440546367146}}","{{0.21256716144980403, 0.0005249596281913449}, {-6.4516396373366725, 0.003232150471193318}}","{{0.22259597857183952, 0.0006082815206737851}, {-6.511812540068892, 0.003641635194314003}}","{{0.23299191663088506, 0.0007155994105716995}, {-6.577653481109512, 0.004349245024339416}}","{{0.2438917107485907, 0.0009288601059335848}, {-6.65031877522755, 0.0058470836976628705}}","{{0.2549687916138632, 0.0012329367178765106}, {-6.727858341284456, 0.008045987677612809}}","{{0.26558804202563724, 0.001642455906025056}, {-6.805732844304132, 0.01121855668534457}}","{{0.2749841590722639, 0.002337198030992895}, {-6.877769741661604, 0.016694331991352226}}","{{0.28375527302847603, 0.00312388490207341}, {-6.947927519595415, 0.02338347748114728}}","{{0.29172813121975716, 0.004391691114712353}, {-7.014108286705321, 0.03452122939284679}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.15492421899751327, 0.0007698032917647081}, {-6.180358504723882, 0.004249423939804498}}","{{0.1676393390667204, 0.0006591230389202281}, {-6.239695731713518, 0.0039263648177642885}}","{{0.17995687801142635, 0.0005739459582516725}, {-6.30128342643705, 0.0036010289155948725}}","{{0.19201847580822354, 0.0005268282802056484}, {-6.365611948019966, 0.003437718337977864}}","{{0.20312347501101538, 0.0005225962048481537}, {-6.428540276835787, 0.003438344542574074}}","{{0.21369337292761276, 0.0005397087592944113}, {-6.491959664335371, 0.0034886642776795467}}","{{0.2236296128851061, 0.0005855869996389478}, {-6.554889184066163, 0.0037929908399495236}}","{{0.23345170314448857, 0.0006867663228252254}, {-6.6203697857953765, 0.004416229709527439}}","{{0.24376404365560625, 0.0008122930047877969}, {-6.692556169373202, 0.005384005871232041}}","{{0.2546851156221427, 0.001052504686991402}, {-6.772644030461138, 0.007259759177776894}}","{{0.26580583894767923, 0.0013927761770090384}, {-6.857902909290249, 0.009980991500945521}}","{{0.2763939755134481, 0.001840960521191522}, {-6.9426080018164065, 0.013750171796133998}}","{{0.28560211703458294, 0.002606218814116103}, {-7.019342514492524, 0.020298450450460154}}","{{0.29414214512462883, 0.003463810086892769}, {-7.093343728941551, 0.028165481405781855}}","{{0.3018248804544637, 0.004851742258419887}, {-7.162193942147682, 0.041303370170394337}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18023139434039653, 0.0007688623215824724}, {-6.319445415113465, 0.004752960943978315}}","{{0.1924116751206114, 0.0006333084006951304}, {-6.38846700620135, 0.004127433816448991}}","{{0.20431599319245788, 0.0005789222514078308}, {-6.459892914632427, 0.003931475163622443}}","{{0.2150234863347668, 0.0005842149792468166}, {-6.527707037867053, 0.004013951776608661}}","{{0.22521335184932062, 0.0006104368737101384}, {-6.59563947463074, 0.004156396311663881}}","{{0.23475365706576048, 0.0006707759825504138}, {-6.662421611145821, 0.004645977376000454}}","{{0.24428642423152713, 0.0007906911192304373}, {-6.732328570361447, 0.005514483762503601}}","{{0.2544942886274605, 0.0009371744813065672}, {-6.810588864063601, 0.0067932511784860265}}","{{0.26545005641121094, 0.0012073501051660883}, {-6.898235006333603, 0.009101134431005789}}","{{0.2766300768261603, 0.001585692026771931}, {-6.991401843124845, 0.012392380408174893}}","{{0.28718189011304934, 0.002077466272622613}, {-7.082850891611222, 0.016854070008037188}}","{{0.29616434976583245, 0.0029242438778794913}, {-7.163693028486268, 0.024671702198720138}}","{{0.3044344798145566, 0.0038633403424168915}, {-7.240867192830514, 0.03392643842445059}}","{{0.3117828693683018, 0.0053900385607891675}, {-7.311563775855257, 0.049425820718053105}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.20485227886085527, 0.0007132379101092294}, {-6.479698100296465, 0.0049466037641489905}}","{{0.2164884540984976, 0.0006669069208903165}, {-6.557272601880751, 0.004815829772719719}}","{{0.2266099601353152, 0.0006853535557071688}, {-6.628123144138471, 0.005014891013896502}}","{{0.23633428955453772, 0.0007208443036366412}, {-6.699434893212771, 0.005271965902524837}}","{{0.2454229854884702, 0.0007932433045381627}, {-6.769114895372918, 0.005949536955273302}}","{{0.25467161234000074, 0.0009269231240125821}, {-6.84310391018516, 0.007030067703563433}}","{{0.2648400714664795, 0.0010960599460081287}, {-6.927841069572483, 0.00866256037731266}}","{{0.2759178362391781, 0.0014006922266277945}, {-7.0238483642692024, 0.011481305965499625}}","{{0.28722735494266827, 0.0018201643866985143}, {-7.125634032600619, 0.01541211362939658}}","{{0.29777159075795523, 0.0023637618747412267}, {-7.224046900209962, 0.020717672556685295}}","{{0.3065067825657961, 0.0033047250091849914}, {-7.3084870876857595, 0.030038463617802238}}","{{0.31448058871752976, 0.004336519723488651}, {-7.388210123407453, 0.04091484405459111}}","{{0.3214581842217365, 0.006024704101540418}, {-7.459918603607921, 0.05922203708192605}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.22813244921032394, 0.0008385810250321199}, {-6.6543058944792985, 0.006432874547986077}}","{{0.23749271070963845, 0.000842179184051489}, {-6.7260678993073775, 0.006556044445526244}}","{{0.2467536716668215, 0.0008638275506452922}, {-6.800155586964845, 0.0067485708009497655}}","{{0.2553988055413029, 0.0009473106865659668}, {-6.8721983692521915, 0.007641988572240176}}","{{0.26443966290674514, 0.00109868981006076}, {-6.950552466419354, 0.009003773476996437}}","{{0.27470822417316065, 0.0012954241926024634}, {-7.042969517817097, 0.011084196003243419}}","{{0.2860547916271941, 0.001642942734227372}, {-7.14887081405474, 0.014554258966096686}}","{{0.2975988229937806, 0.0021073893785511855}, {-7.260463117265078, 0.019215059732761778}}","{{0.3081744711298264, 0.0027125912833014442}, {-7.366219598625531, 0.025551411804131324}}","{{0.3166317148436615, 0.0037628474035662973}, {-7.453611117001832, 0.03666087195285694}}","{{0.3242739938303598, 0.004903121436233464}, {-7.53511120009991, 0.049482344432590177}}","{{0.33083641419436427, 0.006779043718201924}, {-7.606844206512424, 0.07111792146298218}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.24760639687228014, 0.0010526918684259938}, {-6.820462303492039, 0.008702380799601752}}","{{0.2564409952267328, 0.0010665282398442232}, {-6.897028822563954, 0.008928276704885826}}","{{0.26466925322703855, 0.0011758207863016277}, {-6.971083144566706, 0.010251003553100527}}","{{0.2736335804857219, 0.0013377106781682765}, {-7.054750198981088, 0.01185253805166298}}","{{0.2842091828056876, 0.001564875033343078}, {-7.156981021407421, 0.014465665776489424}}","{{0.29601715246509985, 0.0019552572585342736}, {-7.275060718001547, 0.018633286412336525}}","{{0.3079126661713928, 0.002470772475519892}, {-7.397981026299903, 0.024160916000805284}}","{{0.3185406752991239, 0.0031475346740164768}, {-7.511346456995703, 0.031737329730492966}}","{{0.3266508352937847, 0.004324938482653311}, {-7.6005582169369665, 0.044984807904858586}}","{{0.33389652681120613, 0.005590984804905472}, {-7.682656705806212, 0.06012681851969943}}","{{0.33997206747465347, 0.007689245882030702}, {-7.753014658997051, 0.08577841288732502}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.26494853152058195, 0.0013321801129633519}, {-6.98494003093374, 0.01197692407534602}}","{{0.27303715037412774, 0.001478635304365975}, {-7.063130013184686, 0.013895016046237163}}","{{0.2822400496774415, 0.0016268754004933328}, {-7.155159006217822, 0.015457427610750314}}","{{0.2934720297068262, 0.0018978920698183202}, {-7.2712227998547965, 0.018815031505637785}}","{{0.30600717729717336, 0.0023433632940266583}, {-7.404931040818502, 0.023876673577875887}}","{{0.31837906322201925, 0.0029191642085966874}, {-7.541021785991806, 0.030449610239202923}}","{{0.3290429861446632, 0.003686206266256532}, {-7.661879579115098, 0.03961357344788118}}","{{0.3366747159691499, 0.005014425105456244}, {-7.7509164270674455, 0.055451903455487964}}","{{0.34341426593024255, 0.006433389083319889}, {-7.8317679520044505, 0.07347450109880677}}","{{0.34889395514634036, 0.008789855138081481}, {-7.898738824301271, 0.10390248774263851}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2815924704350288, 0.001992811809558654}, {-7.160090307208232, 0.020187887661364146}}","{{0.2911191593595566, 0.002035429418238331}, {-7.261708322403199, 0.02068374172509964}}","{{0.3032922875278484, 0.0023476077943031587}, {-7.3956127322544125, 0.024854647734801474}}","{{0.31673239837463407, 0.0028586539127819547}, {-7.54793398851798, 0.031028563826478082}}","{{0.3295747599701622, 0.003492536316868369}, {-7.697761540465803, 0.03870214935728167}}","{{0.3401057394364341, 0.004366813043732382}, {-7.824133294061072, 0.04981760395127659}}","{{0.3469750196015227, 0.00587490483294727}, {-7.908854416097168, 0.06882480492827454}}","{{0.35300051389609877, 0.007473949024623587}, {-7.985147919458149, 0.0903373414361324}}","{{0.3576961786331138, 0.010135897904754481}, {-8.045442549080832, 0.12655323797683696}}"
