"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,"{{0.14316703542502843, 0.001722301548146448}, {-6.1065105389338035, 0.0046552755174483545}}","{{0.13441632060901176, 0.001122281763254609}, {-6.091926014240443, 0.0038778678422107878}}","{{0.13014070392702046, 0.0007989332535432614}, {-6.083374780876462, 0.0034274174917144663}}","{{0.12723148487681876, 0.0006120156455965121}, {-6.076586603092659, 0.0031429827146751193}}","{{0.12488932965522745, 0.0005064597997807996}, {-6.070340855835078, 0.002962473363311111}}","{{0.12526937193195578, 0.00044146392920793397}, {-6.071480982665268, 0.002849829327335159}}","{{0.12495144847802807, 0.0003974495401220773}, {-6.070421237818837, 0.002751101281880175}}","{{0.12636824387575393, 0.0003695195641319977}, {-6.075616154277167, 0.0026790407516343144}}","{{0.127318154895047, 0.000341136753793214}, {-6.0794157983543435, 0.002601415443589998}}","{{0.1288480642588624, 0.00031644243738595477}, {-6.08604540559754, 0.0025249258668715103}}","{{0.13142407852337865, 0.00029514980655009085}, {-6.0980668054986165, 0.0024502742098922847}}","{{0.13379027697717322, 0.000283060609894278}, {-6.109897797767592, 0.0024081738773874756}}","{{0.13551046377310633, 0.0002736622999075473}, {-6.1190721273458974, 0.002365906111922721}}","{{0.13716871354172727, 0.0002639512309740478}, {-6.128468876034752, 0.002318992955527734}}","{{0.13931616536470282, 0.0002626017694067778}, {-6.1413535869726035, 0.002297784206159531}}","{{0.1417473300456015, 0.0002658858604831165}, {-6.156750963284964, 0.002305743650464991}}","{{0.14419562751776138, 0.00027642586075605634}, {-6.173072946432694, 0.00236545428652567}}","{{0.1477367068793997, 0.00030525257368651626}, {-6.197860501964165, 0.0025418465119238258}}","{{0.15183689047627774, 0.0003505692222310135}, {-6.227928515007931, 0.0028462700519300706}}","{{0.15592530579344188, 0.0004048594008742882}, {-6.2592730324395305, 0.003258537126051457}}","{{0.1610690307385697, 0.00048432044401906175}, {-6.300422832000552, 0.0038752426351354517}}"
2,"{{0, 0}, {0, 0}}","{{0.12219227758661305, 0.0008518982782591936}, {-6.05117920416578, 0.0034655647332772757}}","{{0.12189087407482417, 0.0006514461734262834}, {-6.050375461467674, 0.003243177590091456}}","{{0.12111789934541967, 0.0005459089262897918}, {-6.048056537279462, 0.0031185048187600374}}","{{0.12003288756043182, 0.000486226759847977}, {-6.044439831329505, 0.0030289470620027173}}","{{0.12190906822902298, 0.00044620779122167277}, {-6.051319160447671, 0.002977074894835289}}","{{0.12235173983734736, 0.00041188545435719257}, {-6.053089846880965, 0.0028954185489726047}}","{{0.12466109168805282, 0.0003809029295748011}, {-6.0630970382340275, 0.0027990161859291346}}","{{0.12614241534874376, 0.00035075634292176285}, {-6.070009881983914, 0.0027057241731067495}}","{{0.12816426087803623, 0.0003251865365796198}, {-6.0801191096303775, 0.002618859016015273}}","{{0.1312835780834423, 0.00030547270134219373}, {-6.096755468059213, 0.0025490380149450556}}","{{0.13403542252088793, 0.00029430534365929565}, {-6.112349253204733, 0.002513074767851548}}","{{0.13596632949570947, 0.00028626755025199207}, {-6.123934695053666, 0.002480978501067351}}","{{0.1377848971371329, 0.0002764795002420988}, {-6.135452290116015, 0.002435075376958322}}","{{0.14012375748855452, 0.00027686977685096426}, {-6.151044692458826, 0.002432190950423058}}","{{0.14274593070557615, 0.00028162048819958883}, {-6.169399904977971, 0.0024618563768863924}}","{{0.14535530560131274, 0.0002952648081745554}, {-6.1885353208800415, 0.002568265911910331}}","{{0.1491470587816966, 0.00032795291641239444}, {-6.217605428596318, 0.002811107711275496}}","{{0.15351622554803301, 0.00037803483679058205}, {-6.252558762727014, 0.003204638419366098}}","{{0.1578340770790456, 0.00043678036657921143}, {-6.288540858818786, 0.003710639378017866}}","{{0.16327188872049359, 0.0005214736155550056}, {-6.335668559711334, 0.004439664595396886}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12108858559921565, 0.0006950319976596241}, {-6.0468988780733754, 0.003749774855398447}}","{{0.12033026774291533, 0.000603972142953244}, {-6.044118379266941, 0.003598939937765928}}","{{0.11912630388493196, 0.000544843699487843}, {-6.039302523835002, 0.003466284987889692}}","{{0.12193007266822148, 0.0004984525385071365}, {-6.051452188562595, 0.003374934575626821}}","{{0.12249322061058227, 0.00045234823816133477}, {-6.0540802122936155, 0.0032255977756755847}}","{{0.12534454023065417, 0.00041147274765912994}, {-6.068336810393967, 0.003067634505834812}}","{{0.12700316947314413, 0.00037316010620935255}, {-6.077182833020585, 0.0029241691079066475}}","{{0.12925723328341424, 0.0003437567347674539}, {-6.089955861278778, 0.0028111572387350546}}","{{0.13274497681609831, 0.00032259461074448097}, {-6.110882322474884, 0.0027315974554867123}}","{{0.1357118955376756, 0.0003110178438744796}, {-6.129672807711541, 0.0026958534826386623}}","{{0.13768194619834861, 0.0003025514820712392}, {-6.1428064787826955, 0.002663770943106401}}","{{0.13951522111674117, 0.00029148605141682076}, {-6.155639403211444, 0.0026104174939245418}}","{{0.14193521965107078, 0.0002916235015375629}, {-6.173386059129858, 0.002609698805791442}}","{{0.1446587317499062, 0.0002958985548553565}, {-6.194266318554265, 0.0026414399220549556}}","{{0.1473500565105136, 0.00031174698497106354}, {-6.215796916639125, 0.0027857854710312004}}","{{0.15134147660991823, 0.0003484090557208451}, {-6.249058750800831, 0.0030950590153520753}}","{{0.1559395643171088, 0.00040364268439073696}, {-6.288908844263148, 0.0035799922206994034}}","{{0.16044686712431472, 0.00046744538708603974}, {-6.329474569528003, 0.004185103925055031}}","{{0.1661537284415894, 0.0005588349991601069}, {-6.38273860848923, 0.005045890876314682}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1200581779773282, 0.0006968228542489441}, {-6.042667233850474, 0.004155665923264738}}","{{0.11838827707314918, 0.0005945085678875153}, {-6.03487436296431, 0.003819043952105886}}","{{0.12260876409446876, 0.0005340490659750085}, {-6.055976798070906, 0.003668465577206692}}","{{0.12313339754219825, 0.0004754468663749941}, {-6.05877484312546, 0.0034432043768603377}}","{{0.12661647221611674, 0.0004263557868658008}, {-6.078512266277667, 0.003227288409629808}}","{{0.12837177577286246, 0.0003823498585524393}, {-6.089044087618143, 0.0030469064070344216}}","{{0.13082260791881084, 0.0003515816761300541}, {-6.104566024542482, 0.002925499615529142}}","{{0.13469482523095258, 0.0003324626351226788}, {-6.130380806623426, 0.0028645492684091787}}","{{0.13784666582647964, 0.00032305107397753453}, {-6.152443690792121, 0.0028516530343010585}}","{{0.1397892632157974, 0.00031516016468779214}, {-6.16668940498045, 0.0028289661908819878}}","{{0.14158037781125762, 0.0003043112964787566}, {-6.180421283545642, 0.002782576399953859}}","{{0.1440510680369901, 0.0003052892565799022}, {-6.200186805351503, 0.0027948838335091573}}","{{0.14685560196421366, 0.00030992728334367306}, {-6.223557921411701, 0.002837342742640403}}","{{0.1496087335431089, 0.0003291326294974089}, {-6.247418395095463, 0.0030367111393022517}}","{{0.15380400576802036, 0.0003706281062957354}, {-6.285175845119666, 0.003426630612878025}}","{{0.15863937775844275, 0.0004319383572132042}, {-6.330305983696935, 0.004019072134188134}}","{{0.16333694260416165, 0.0005013220757643875}, {-6.375715777205553, 0.0047337898986686095}}","{{0.16932548250517943, 0.0006000574330211699}, {-6.435601176215732, 0.005739670987870305}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.11669808512445416, 0.0006129726812946689}, {-6.024169813955905, 0.004064891952005864}}","{{0.12387391163077519, 0.0005517675785176318}, {-6.064832830825051, 0.00392604000943456}}","{{0.12410233944307829, 0.0004846224746785436}, {-6.066203397698879, 0.003630803247589186}}","{{0.12842345837467437, 0.00043467238187806426}, {-6.093570484265648, 0.003393793963744711}}","{{0.13016399547375962, 0.0003916633667089271}, {-6.105174064926221, 0.0032225413695614762}}","{{0.132779480730971, 0.0003660706697721243}, {-6.123482461726699, 0.0031446236329382812}}","{{0.13707733015422005, 0.00035374525743927783}, {-6.155000024163858, 0.0031470672834536645}}","{{0.1403830378841989, 0.00034727993741231946}, {-6.180343783427031, 0.0031691590468509376}}","{{0.1422176762428974, 0.0003384743668789192}, {-6.195020890296616, 0.003145179066921607}}","{{0.14390257443308552, 0.0003267622202529374}, {-6.209061708548185, 0.003098911157952929}}","{{0.14639610982864856, 0.0003276515363508816}, {-6.230672348643062, 0.003117943020027206}}","{{0.14926628548952472, 0.00033273289043576036}, {-6.256503929590951, 0.003176186188745476}}","{{0.15206507680889791, 0.0003555287639090022}, {-6.282625981905102, 0.003439690433873838}}","{{0.15647771515369924, 0.0004025048900910393}, {-6.325281485904843, 0.003925680431964742}}","{{0.16156740039173864, 0.0004699103421457879}, {-6.3761783382852375, 0.004632143608618378}}","{{0.16646158103883837, 0.0005447798332857383}, {-6.426751538305269, 0.0054607036551305764}}","{{0.1727515842521022, 0.0006505418024163542}, {-6.493844905913416, 0.006612651820924158}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1281146896966166, 0.0005984591282740808}, {-6.095931869974555, 0.004440257499107086}}","{{0.12633694238214577, 0.0005053920409371094}, {-6.084080221211418, 0.003944888449211273}}","{{0.13149266771075388, 0.0004565563025116157}, {-6.120170298511672, 0.003701647825166577}}","{{0.132790314064175, 0.00041506557976883575}, {-6.129686371770094, 0.003554903857701651}}","{{0.13540270408332855, 0.0003946677486649757}, {-6.149714695250273, 0.003531128095662262}}","{{0.14011921002430003, 0.0003875506321648314}, {-6.187446742778044, 0.0035929348894515813}}","{{0.14348354616758865, 0.0003812226155377103}, {-6.2154828773054485, 0.003628015901506708}}","{{0.1450650105413506, 0.00036861047297577054}, {-6.229188901878052, 0.0035739394609415618}}","{{0.14653855671185295, 0.0003542957097055957}, {-6.242450817412572, 0.0035104320853610307}}","{{0.14900835096021603, 0.00035494843493867086}, {-6.265502230397297, 0.0035355074448717673}}","{{0.1519182088563703, 0.0003613570754363246}, {-6.2936308567267885, 0.003623458985206209}}","{{0.15473798131181843, 0.000389171491840704}, {-6.321828581281267, 0.0039751655930345565}}","{{0.15938258416887063, 0.0004419457210170454}, {-6.369822810804141, 0.004566179451545455}}","{{0.1647453714347692, 0.0005157410207815062}, {-6.427025874973728, 0.0053956768711725216}}","{{0.16984145909411186, 0.000596615213411823}, {-6.483082839226497, 0.006351715036919604}}","{{0.17645480954715237, 0.0007099056393473349}, {-6.558034144360955, 0.0076643760839395425}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1295004186349351, 0.0005690497818550109}, {-6.110442523317994, 0.004613704081120406}}","{{0.13565226850145312, 0.0005097609614323307}, {-6.157606705627964, 0.004290227312519292}}","{{0.1358051330799637, 0.00045742505249933373}, {-6.158829622256049, 0.00408637799336178}}","{{0.13828338010023825, 0.00043219025028673117}, {-6.179481680758341, 0.004038737787564399}}","{{0.14352440887665416, 0.00042638089472277885}, {-6.224903930153943, 0.004129874595711515}}","{{0.146878529342679, 0.00041764080455138265}, {-6.255091014348166, 0.004152497332200215}}","{{0.148056989538366, 0.00040012143405992334}, {-6.266089976174579, 0.004053482614693854}}","{{0.14922684914356682, 0.0003834412715287779}, {-6.277398619024856, 0.003975467814261417}}","{{0.15165691644950233, 0.00038473452566076006}, {-6.301699292084212, 0.004017021817380232}}","{{0.15461032308013406, 0.0003938027865037875}, {-6.332217827267402, 0.004154483509798904}}","{{0.15744973526353365, 0.0004281772052421576}, {-6.362504890556997, 0.004620179901294846}}","{{0.16237045939277778, 0.0004879357147164181}, {-6.416632855978683, 0.005337357749440741}}","{{0.16804990159760794, 0.0005697978311342708}, {-6.480999867633427, 0.006321273944929208}}","{{0.17336993394401345, 0.0006570747498184951}, {-6.543066911674823, 0.007416878775875376}}","{{0.18034621093859982, 0.0007781805067245267}, {-6.626782235609861, 0.008901309547169289}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1358667702628088, 0.0005742585085937738}, {-6.159608722067281, 0.005074130343914548}}","{{0.13598881624989564, 0.0005046114823577559}, {-6.160666453955372, 0.004760440275058241}}","{{0.1393848888103038, 0.0004769637812657593}, {-6.19123110699904, 0.004699447658728832}}","{{0.14600575760884113, 0.000472518176968341}, {-6.253025882452058, 0.004812701907174588}}","{{0.1496092414273881, 0.0004598713403008664}, {-6.2878595593646756, 0.004799964040125476}}","{{0.1503996386508214, 0.0004362684073909115}, {-6.295763531599013, 0.004637518219189868}}","{{0.1513088783655209, 0.00041618052436313455}, {-6.305159008650906, 0.0045315886742390106}}","{{0.15380855328825171, 0.00041898155683032774}, {-6.331822207826701, 0.0045996358014815785}}","{{0.15690773624468055, 0.00043164037790339267}, {-6.365913220347417, 0.004801159810060167}}","{{0.15983748159789005, 0.0004735767318242617}, {-6.399117001017128, 0.005398483274906762}}","{{0.16514789461865464, 0.0005416449275603772}, {-6.461071819592714, 0.006265306136054274}}","{{0.17124190924904925, 0.0006327159580154317}, {-6.534199995157451, 0.0074269700379382035}}","{{0.17684567822145023, 0.0007269876487278773}, {-6.60331314581706, 0.008678091452104948}}","{{0.1842595218056805, 0.0008560706743338393}, {-6.697221831217308, 0.010343331557127874}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14207902893356394, 0.0005785480781270099}, {-6.223598651686615, 0.005739267566631703}}","{{0.14412803143235295, 0.000530076035367724}, {-6.243405675841579, 0.0054840488070040105}}","{{0.15149999070147951, 0.0005299889823608314}, {-6.317125268532846, 0.005653314757540782}}","{{0.15447322476199912, 0.0005095753103799559}, {-6.347848687158212, 0.005561900550896671}}","{{0.15409974023938106, 0.0004756567286419342}, {-6.343864852250285, 0.005284645236496195}}","{{0.15431126448561414, 0.0004522537746656041}, {-6.346191618958848, 0.005155578787144041}}","{{0.15669922580893145, 0.0004594772910222368}, {-6.3732551806231115, 0.00529237419911656}}","{{0.1598401108525116, 0.00047712838658093795}, {-6.4098988394648835, 0.005584067059462432}}","{{0.16276937815942533, 0.0005273484859879124}, {-6.445050047147844, 0.00633128864624731}}","{{0.16847621059006118, 0.0006038303431087187}, {-6.515434313792358, 0.007356172309344392}}","{{0.17499571732183888, 0.0007040714519192867}, {-6.59801473239487, 0.008702359145527392}}","{{0.18086376642275592, 0.0008059775903181117}, {-6.674299370706791, 0.010128339500573201}}","{{0.18873037739137577, 0.0009446585306470695}, {-6.779187516955061, 0.01201283060446897}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14155593729617297, 0.000594622965376127}, {-6.214255275631542, 0.006585420118324178}}","{{0.1538999232679599, 0.0006120246034363094}, {-6.345924459330604, 0.00689057898425842}}","{{0.15710247792609455, 0.0005689356204448841}, {-6.381152560570089, 0.0065216772606870215}}","{{0.15572808084123593, 0.0005198188460106228}, {-6.3655760602750195, 0.006057229421733375}}","{{0.1555348004144347, 0.0004919777337096436}, {-6.363321121962341, 0.005888360613557079}}","{{0.15821386808637863, 0.0005072197576583004}, {-6.39546993402567, 0.006141023840097434}}","{{0.16171614041132043, 0.0005301898354014421}, {-6.438664626033283, 0.006528625626811936}}","{{0.16485605526785463, 0.000589744586653964}, {-6.478436880882718, 0.007444861545041314}}","{{0.17122109775707386, 0.0006759794147350667}, {-6.561182433242568, 0.008653113630524024}}","{{0.1783697077496458, 0.0007877004023709637}, {-6.656497233143527, 0.010230103952862096}}","{{0.18462145818488712, 0.0008993138689481604}, {-6.74193782242516, 0.011877762407597152}}","{{0.1930750576115767, 0.001047867334243165}, {-6.860288214398809, 0.013996386508872123}}"
