"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,"{{0.15538898929527992, 0.001887894773477836}, {-6.090914250004244, 0.00528227983767196}}","{{0.1374964213519014, 0.0013459572882834388}, {-6.061093303431947, 0.00463000477989149}}","{{0.1281707944308989, 0.0010174969669557014}, {-6.042442049589941, 0.0042075404689374315}}","{{0.12167763714035329, 0.000794570971700582}, {-6.027291349245336, 0.0038339391906492266}}","{{0.11723315934326992, 0.0006375953773559716}, {-6.015439408453115, 0.0035213387984917538}}","{{0.11513439029259381, 0.0005244288962265236}, {-6.009143101301088, 0.003251456847511625}}","{{0.11468811459274184, 0.00044292308308500525}, {-6.007655515634912, 0.003039044629721472}}","{{0.11507358721729143, 0.0003834546574201563}, {-6.009068915258261, 0.0028636411579588475}}","{{0.12143105261706649, 0.0003395465085755129}, {-6.034498776857361, 0.002729626849010309}}","{{0.12732653245600903, 0.00030515474374227976}, {-6.060045856159445, 0.00260434628462855}}","{{0.1327970699421762, 0.00028479219221698627}, {-6.085575031094891, 0.0025144847626908727}}","{{0.1390394613307902, 0.0002771213049696607}, {-6.116786988037962, 0.0024588854623368178}}","{{0.14500732770779945, 0.000273704329680486}, {-6.148615608715345, 0.0024153426899693417}}","{{0.15966115493302765, 0.00030299005758985535}, {-6.231653962991637, 0.0024793114069885146}}","{{0.17024969351320166, 0.0003793107048158491}, {-6.295185194472681, 0.0027705573786408807}}","{{0.17813374779698246, 0.00046990039604092383}, {-6.34511753826996, 0.0032232052118251336}}","{{0.18733067525134217, 0.0005550985548295475}, {-6.406430387965689, 0.003769753940548605}}","{{0.1952919918252359, 0.0006894138052459406}, {-6.462159603982945, 0.004661899469869129}}","{{0.20217033537893225, 0.0008506681844315379}, {-6.512600790043386, 0.00587958815242753}}","{{0.20929004167334408, 0.0010506703946119467}, {-6.5671852049672115, 0.0075022766237634216}}","{{0.21499085226497477, 0.0013080517086333462}, {-6.612791689700258, 0.009674187525250049}}","{{0.22114272417935785, 0.0017285386804633484}, {-6.6640579763384675, 0.013265437756651881}}","{{0.22691577164733867, 0.0021654902252141776}, {-6.714200693929681, 0.01691444628863008}}"
2,"{{0, 0}, {0, 0}}","{{0.11696413737632767, 0.0011037843275710005}, {-5.992652356846702, 0.004415884589850919}}","{{0.11324183898260962, 0.0008409664865190961}, {-5.982726227796786, 0.004075851408587192}}","{{0.11012300095516073, 0.0006601130243922576}, {-5.973369713714437, 0.003716415110405266}}","{{0.10804857595411471, 0.0005383233771320178}, {-5.966454963710953, 0.0034301594530862373}}","{{0.10797432528586015, 0.0004539319512938449}, {-5.966182711260685, 0.00318775562091693}}","{{0.1092064969127293, 0.00039952581667991154}, {-5.971111397768166, 0.0030258898576719837}}","{{0.1108957673827375, 0.00036105457855626727}, {-5.978431569804863, 0.002897019360421112}}","{{0.11936028982937756, 0.00033094047577488677}, {-6.017932674555848, 0.002799739353495902}}","{{0.12670417741861745, 0.0003044877763407819}, {-6.054652112502055, 0.0026916348891013095}}","{{0.133190196992044, 0.00029281865222851}, {-6.08924421689366, 0.0026327699546960723}}","{{0.14033247520200365, 0.0002909288642061706}, {-6.129717126750097, 0.0026024503131626413}}","{{0.1469681776512695, 0.000291268117378463}, {-6.169531341445691, 0.002580621344851074}}","{{0.16331440184739887, 0.0003300494224360856}, {-6.273057428021179, 0.0027279008506724657}}","{{0.17476985188579824, 0.0004209002847700764}, {-6.349427094943842, 0.0031937657638463155}}","{{0.18304965862971798, 0.0005202914061725009}, {-6.407385742151278, 0.003794250524335496}}","{{0.192722254597592, 0.0006113196919328636}, {-6.478318112582359, 0.00446502366313651}}","{{0.2009540698270268, 0.0007535139534074561}, {-6.541428696008019, 0.005516969213038001}}","{{0.20795403993591413, 0.0009241079286728777}, {-6.5974284568791175, 0.006924966635424644}}","{{0.2152009844910335, 0.0011385237058703982}, {-6.657819661505119, 0.008829543123928531}}","{{0.22088269215302223, 0.0014154499170370707}, {-6.707061127909015, 0.011384090136697734}}","{{0.22705801211047244, 0.0018661161935278506}, {-6.762646108523715, 0.015552214371737686}}","{{0.2328172871499643, 0.002325324699563691}, {-6.816493629308526, 0.01966702102572165}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10655592809380372, 0.0008736763512753966}, {-5.953753947278629, 0.004526339187527696}}","{{0.10522062649703574, 0.0006781172591553227}, {-5.948857841423817, 0.004016158476592205}}","{{0.10427738127881873, 0.0005537268457189889}, {-5.945084860550946, 0.0036507443589446583}}","{{0.10543544527957927, 0.0004707243317584453}, {-5.95010313788757, 0.0033595181520034746}}","{{0.10774506023020615, 0.0004182500840875446}, {-5.960881340990496, 0.003179971992954783}}","{{0.11022200748834576, 0.0003807107757429786}, {-5.973266077281197, 0.0030396824847407473}}","{{0.12071725934410528, 0.00034978301908544757}, {-6.029240753845247, 0.002933687373812165}}","{{0.12925853054824699, 0.00032256428809064505}, {-6.0776412906687165, 0.0028144145970988273}}","{{0.13645939856600034, 0.0003118916054895797}, {-6.120846498775237, 0.002761672992593718}}","{{0.14424718954862728, 0.00031246706671046357}, {-6.170169174998545, 0.002752722281007168}}","{{0.15130150555214594, 0.00031426480131443123}, {-6.2171979483553335, 0.0027504703700392797}}","{{0.1693638577904541, 0.0003640239843768965}, {-6.343634414023492, 0.003023283105572413}}","{{0.18154010704156565, 0.0004691607443718735}, {-6.43292690853164, 0.0036947171542806383}}","{{0.19000860773400519, 0.0005779544569854523}, {-6.497852080507009, 0.004466921037716878}}","{{0.2000004562740654, 0.0006746591309932704}, {-6.577786868827494, 0.005270398589263848}}","{{0.20833822856494053, 0.0008274955184985959}, {-6.647268304584787, 0.006532595203146653}}","{{0.21529775776550936, 0.0010091765650594962}, {-6.707584224323045, 0.008168869944832366}}","{{0.2225350249931808, 0.0012400972680439624}, {-6.772719629372092, 0.010402445450870582}}","{{0.2280593676227735, 0.0015362837663864702}, {-6.8242801605816235, 0.013348393941826336}}","{{0.23414380985364563, 0.0020191856061151613}, {-6.88310467015766, 0.018149591561265187}}","{{0.23978755021724243, 0.0025051245643364787}, {-6.939634943497106, 0.022843807953079553}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10506540096467111, 0.0007149580991730074}, {-5.948029971917872, 0.004422157842783404}}","{{0.10372814590353142, 0.0005772281628906612}, {-5.941789448299216, 0.003914684086328034}}","{{0.10556912965471207, 0.0004932256745337743}, {-5.9509943670551255, 0.003561798540181616}}","{{0.10860405479716773, 0.0004380467468539083}, {-5.9671806344815534, 0.003351045418819196}}","{{0.1115432742527889, 0.0003993638529747898}, {-5.983836211396744, 0.0031954017661004765}}","{{0.12433202238137633, 0.0003644022092508786}, {-6.060568700168266, 0.003067136154099049}}","{{0.13396807317815607, 0.000337504373333223}, {-6.121597021881204, 0.0029468705882248615}}","{{0.1416672062734784, 0.00032973956945864973}, {-6.172924575850019, 0.0029173104209945424}}","{{0.1499240851243144, 0.00033143415712061087}, {-6.230722727805869, 0.0029225256567019914}}","{{0.15720797119913812, 0.00033403628335579283}, {-6.284137892354579, 0.0029357576837369696}}","{{0.17714045983610988, 0.000398487070792613}, {-6.436953638571359, 0.0033825571909176697}}","{{0.18994523011657313, 0.0005220102002399115}, {-6.539391800815067, 0.004313211526334821}}","{{0.19842218115800286, 0.000641717944491584}, {-6.610033059493649, 0.005276591839282631}}","{{0.20861131408757136, 0.0007432462719654699}, {-6.698338878216573, 0.006200196342596371}}","{{0.21691695866990163, 0.0009078606189272113}, {-6.773089679457552, 0.007689936824617839}}","{{0.22369657665887088, 0.0011016120060334661}, {-6.836366114021258, 0.009572430457129032}}","{{0.23081157529015417, 0.001350316374122012}, {-6.905144434123664, 0.01216240893537118}}","{{0.23606069715300917, 0.0016677912494508834}, {-6.957635652752215, 0.01554347173071039}}","{{0.24196300287080513, 0.0021868651622167644}, {-7.018637349121757, 0.0210625410554484}}","{{0.2474087863574599, 0.002702214441617838}, {-7.07681719402102, 0.026401177698572392}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10160482462091108, 0.0005689726168544498}, {-5.928341746842623, 0.0039236346063453}}","{{0.10542796088898695, 0.0004925076143325843}, {-5.950006185695051, 0.0035806934216385472}}","{{0.10973332359471925, 0.00044141903580183504}, {-5.975838361929444, 0.0034032261809697996}}","{{0.11327585993636147, 0.0004087255246029915}, {-5.998274425426514, 0.0032910968741402184}}","{{0.12922351162066775, 0.00037266638912715467}, {-6.104592103321886, 0.0031687424299033824}}","{{0.14004570280681983, 0.00035294161686939065}, {-6.180347441624953, 0.003106435879568007}}","{{0.1481051700058444, 0.00035284632600747164}, {-6.239450201084467, 0.003147744738469581}}","{{0.156725831880374, 0.0003564068545131059}, {-6.305541942122526, 0.0031790798505233068}}","{{0.1640973796495179, 0.0003582813874834446}, {-6.364514324275675, 0.003197658656727736}}","{{0.1862037149842561, 0.00043764891312058143}, {-6.548733785398497, 0.0038383297643154023}}","{{0.19958410297738255, 0.0005818471875093733}, {-6.664697148005591, 0.005067436193638046}}","{{0.20789506518747294, 0.0007146992258123809}, {-6.739495807896403, 0.006256746980193228}}","{{0.2181796979703879, 0.0008200796056751812}, {-6.835485713870278, 0.007289603914886917}}","{{0.22632750014015707, 0.000997573534197379}, {-6.914247801511377, 0.009029049634252469}}","{{0.23279759771956324, 0.0012056109393957415}, {-6.978948777305442, 0.011201210052163244}}","{{0.23969192719202376, 0.0014745328085987994}, {-7.0501901818542, 0.014199911520991959}}","{{0.24455881431392965, 0.0018164197585958763}, {-7.102103644487858, 0.01808499974330501}}","{{0.25020184068349227, 0.002376322784564853}, {-7.164190150479231, 0.02442732895004178}}","{{0.2553820560151399, 0.002923742733100212}, {-7.222993804411822, 0.03048651699577608}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10805501086165353, 0.0005343455650313161}, {-5.969271218827939, 0.003942289250635833}}","{{0.11319952993391384, 0.0004713467994918695}, {-6.003568012643004, 0.003717939749689112}}","{{0.11677259827653579, 0.0004426804972933603}, {-6.028579491041357, 0.0036484454418537963}}","{{0.13687055440888649, 0.0004035224663578721}, {-6.175964502678597, 0.003523554738562009}}","{{0.1485999308515915, 0.00039158569512177325}, {-6.265889722072667, 0.0035377055792409785}}","{{0.1565357078391788, 0.0003950958759645714}, {-6.32937593797337, 0.0036264560436341325}}","{{0.16519861950063977, 0.000396972455053793}, {-6.401566868485537, 0.003655632975542977}}","{{0.17234991929956095, 0.0003953453406162841}, {-6.463544800076192, 0.0036543021761887584}}","{{0.19697512657696994, 0.0004910150339243911}, {-6.6851716655728675, 0.004518389631155891}}","{{0.21079034397016588, 0.0006570148616718236}, {-6.8141136945760366, 0.006072129993958895}}","{{0.21865587867522648, 0.0008029679254947864}, {-6.890147196724953, 0.007496205417072865}}","{{0.22887248564316373, 0.0009104096711971888}, {-6.992313266404329, 0.0086187324651668}}","{{0.23668095641253223, 0.0011015052205602003}, {-7.073000797687798, 0.0106287691358448}}","{{0.24266563415531803, 0.0013259200018760507}, {-7.136837360277517, 0.013137383223174266}}","{{0.24921011574974347, 0.0016179334310409343}, {-7.208826657816195, 0.016609966675018843}}","{{0.25356019160100307, 0.0019873369647832985}, {-7.258127517463804, 0.021073131923900288}}","{{0.2588496351175244, 0.0025921840344236818}, {-7.3198504502918045, 0.028340390819509148}}","{{0.26368607498661506, 0.003172768225439394}, {-7.378002158546026, 0.035171413793579194}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.11870097893506092, 0.0005266774622526539}, {-6.049413420985899, 0.004323460779700638}}","{{0.1213098569484215, 0.0004966419440733309}, {-6.069414819088326, 0.004255313311512359}}","{{0.1476320920649592, 0.00046295880668904436}, {-6.279992700020634, 0.004205956063689493}}","{{0.15968408143654086, 0.0004576527157514574}, {-6.380425944783813, 0.00429726762702214}}","{{0.16672032311059443, 0.00046101132082766055}, {-6.44140670595894, 0.004405672721374528}}","{{0.17500280886956948, 0.00045607801400746116}, {-6.515949077789717, 0.004384945973410658}}","{{0.1815645776529312, 0.0004462773547539068}, {-6.57719225310109, 0.004315735113698242}}","{{0.209271894715149, 0.0005602175596762913}, {-6.8450296513692, 0.005440823405010169}}","{{0.22336319379107525, 0.0007507513510695642}, {-6.985942642128459, 0.007370067428424153}}","{{0.23044417597682698, 0.0009095583163586932}, {-7.059112791381227, 0.009039103088331073}}","{{0.24041898443189322, 0.0010187220778804583}, {-7.165510748235272, 0.01025845462377847}}","{{0.24769345119849678, 0.0012243357123622256}, {-7.245529882667909, 0.012568362949525288}}","{{0.2530077533355247, 0.0014667253490917931}, {-7.305758640220891, 0.01545730798971673}}","{{0.25907753023172747, 0.0017842481820581424}, {-7.376572704009924, 0.019466196603161085}}","{{0.26277850742054887, 0.0021840064055699826}, {-7.420984430275781, 0.024581788807709712}}","{{0.26763110912291327, 0.0028393763340334604}, {-7.480844140390603, 0.03290791879907163}}","{{0.2720554204653898, 0.0034575638400983428}, {-7.537019722642743, 0.04063444178240811}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12452599536216309, 0.0005800065696597105}, {-6.0994321109499126, 0.005215218596178984}}","{{0.1624012788300969, 0.0005460343029893614}, {-6.427684567672007, 0.005203367523298167}}","{{0.17336638924425243, 0.0005384260762681788}, {-6.526370561399403, 0.005287122045525236}}","{{0.17818727554042482, 0.0005353605226546184}, {-6.571365500163682, 0.005347405798832789}}","{{0.18555991367915223, 0.0005187890739116858}, {-6.642634335504709, 0.00521616872498902}}","{{0.1911228484559605, 0.0004993981941061325}, {-6.6982636832728, 0.0050571359563914755}}","{{0.2228632869091089, 0.0006456752849856505}, {-7.026248213955326, 0.006630265380301428}}","{{0.23705456736142724, 0.0008682751030659675}, {-7.177621872113393, 0.00905215203477038}}","{{0.24293366020452467, 0.0010386650640434112}, {-7.242291893387463, 0.010962663058462895}}","{{0.25248935603082023, 0.0011485669485763587}, {-7.350589779418814, 0.012279016037902647}}","{{0.25902599128475784, 0.0013699631098408383}, {-7.426850524048091, 0.014926494259826296}}","{{0.2634805451433237, 0.0016317799754072388}, {-7.480305170350874, 0.018240323013099455}}","{{0.26896325338464705, 0.001977564860919729}, {-7.547925238660531, 0.022857868843762296}}","{{0.27189113732795656, 0.0024112245720342494}, {-7.58501176860912, 0.02871791497818105}}","{{0.27624233665074893, 0.0031237673272545164}, {-7.641587054243533, 0.038263468769043435}}","{{0.2802057604640569, 0.0037787445980611077}, {-7.694592962616972, 0.046909485760443785}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18811625354624795, 0.0007189114163466201}, {-6.693405973072239, 0.007156438383450402}}","{{0.19170643180941696, 0.0006780724065007902}, {-6.728111029616214, 0.006943710384374513}}","{{0.19111965559798563, 0.0006360706441593998}, {-6.722243267501893, 0.006620780912283903}}","{{0.1966390464304384, 0.0005954327980836667}, {-6.779276972770574, 0.006241915029801356}}","{{0.20062592464310985, 0.0005610384640011157}, {-6.821803673705737, 0.005933330191324196}}","{{0.2379257036627563, 0.0007566942323767859}, {-7.232101242921842, 0.008208077483841744}}","{{0.2519233982703356, 0.0010174578362921736}, {-7.39074178180774, 0.011235800208864331}}","{{0.2560045435002723, 0.0011959832601664484}, {-7.438355142823676, 0.013359002669899278}}","{{0.264921114332121, 0.0013064160106671426}, {-7.545353992805864, 0.014792928363718186}}","{{0.27047522907816446, 0.00154610305513738}, {-7.61385474134039, 0.0178445849442761}}","{{0.2738536777159859, 0.0018287438515439812}, {-7.65664842408613, 0.021634037018828916}}","{{0.2786377539099752, 0.002206433841553003}, {-7.7188414146079944, 0.02695654595898871}}","{{0.2806660889756817, 0.002677182176653021}, {-7.745885882150748, 0.033653840455587274}}","{{0.28446423173450935, 0.0034543745224697}, {-7.797803060834986, 0.04460449458721197}}","{{0.2879306387624633, 0.004146858139776405}, {-7.846515569152298, 0.054230404743617885}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.21483185097534874, 0.0008536816596623674}, {-6.990199113496774, 0.009101302386252877}}","{{0.20238897707524445, 0.0007252873310585252}, {-6.857475125228998, 0.007835658636146502}}","{{0.2056083956497744, 0.0006654561618881168}, {-6.892888729548829, 0.007254835130531027}}","{{0.2079344501935546, 0.0006184904376820747}, {-6.919250681044999, 0.006825095300846018}}","{{0.25380315877583054, 0.0009100853412496823}, {-7.454385614504885, 0.010460626947525638}}","{{0.2673309132570388, 0.0012178646421221243}, {-7.616718668279391, 0.01425025456453188}}","{{0.268895087429915, 0.0013965401870084087}, {-7.636010149744865, 0.016492889230347103}}","{{0.27701686364220435, 0.001504658991762116}, {-7.738885981767194, 0.018031373260216428}}","{{0.2813815902856953, 0.0017625803211561595}, {-7.795627428132576, 0.0215165405365564}}","{{0.28350538682856546, 0.0020684831508612405}, {-7.823944715370844, 0.025858405002686848}}","{{0.28754059641969426, 0.002481906350701283}, {-7.87909257978294, 0.03199353140490475}}","{{0.2885868589933992, 0.0029936245094997057}, {-7.893740255814805, 0.0396426182881926}}","{{0.2918354174579471, 0.0038443467611582243}, {-7.940312651488114, 0.052222771469250244}}","{{0.2948197877620271, 0.004573349776074927}, {-7.984298549143573, 0.06286250160319165}}"
