"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,"{{0.14267451835010778, 0.002074193511634627}, {-6.181311057509124, 0.005690786195159837}}","{{0.13971011383661514, 0.0014209248118453232}, {-6.17637038331997, 0.00490017228321704}}","{{0.13863781900948494, 0.001040387754785244}, {-6.174225793665712, 0.004335733057420281}}","{{0.13723080091182693, 0.000802769596434256}, {-6.170942751437842, 0.003911677050313828}}","{{0.13557422340775072, 0.0006438808644109094}, {-6.166525211426975, 0.003579051912520399}}","{{0.14363878136311312, 0.0005271949409800943}, {-6.190718885293061, 0.0033071473744451614}}","{{0.14701308851027042, 0.0004451783351703626}, {-6.20196657578358, 0.003093166969441338}}","{{0.1478484504864949, 0.0003895798648341336}, {-6.205029569696404, 0.0029333984159722847}}","{{0.14801365234911024, 0.00035054067312948}, {-6.205690377146867, 0.002800189587523729}}","{{0.1502881925641228, 0.0003229531493204255}, {-6.215546718078586, 0.002713389353209963}}","{{0.1506406232494832, 0.00029966774045080846}, {-6.217191394610273, 0.002634046801734909}}","{{0.15014494273481638, 0.00028390780061946923}, {-6.214712992036933, 0.002587118480728282}}","{{0.1497806956487429, 0.0002674726087814376}, {-6.212770340911212, 0.002528432672416948}}","{{0.14946827689224013, 0.00026021280475489847}, {-6.210999967957694, 0.0025070842027963432}}","{{0.14934370726292323, 0.0002545303117915744}, {-6.210252550181798, 0.002495956704154351}}","{{0.14972711302486863, 0.0002539239961217512}, {-6.212680786674115, 0.002486207053183227}}","{{0.15075453915037026, 0.0002540744793396823}, {-6.219530294177459, 0.0024596039528462566}}","{{0.1530676825350683, 0.00027729607171867105}, {-6.235722297870349, 0.0025351032126898223}}","{{0.1561651656690699, 0.0003172350967935021}, {-6.25843717418636, 0.0027323872815426327}}","{{0.15949577746709395, 0.0003640700728978685}, {-6.283971864637875, 0.0030089663148132003}}","{{0.16383991431564282, 0.0004533509736568442}, {-6.318724959426265, 0.003558739788644691}}"
2,"{{0, 0}, {0, 0}}","{{0.13453761616936594, 0.001185616274195489}, {-6.159128724429138, 0.004844767485181082}}","{{0.13551542276229403, 0.0009091025983097086}, {-6.161736208676948, 0.004335662641267136}}","{{0.13479455592444844, 0.0007053660751679547}, {-6.159573608163412, 0.0038792832365600483}}","{{0.13339786758147387, 0.0005799562754388305}, {-6.154917980353497, 0.0035592924151716062}}","{{0.1443884009030176, 0.0004952182253911551}, {-6.195216602532492, 0.0033351160707346767}}","{{0.14841887995198905, 0.0004309252256390982}, {-6.211338518728371, 0.0031448802603954713}}","{{0.14912747982477054, 0.0003936285701671799}, {-6.214409118177095, 0.0030315060377234335}}","{{0.14906991619225304, 0.0003671314696822415}, {-6.214140487892008, 0.002934591965851639}}","{{0.1515659612021518, 0.00034489226676171907}, {-6.226620712941505, 0.002868935453545377}}","{{0.15176416889540015, 0.0003225715711417483}, {-6.227677820638828, 0.0027924790515527842}}","{{0.15101937666372062, 0.0003088749355558781}, {-6.223457331325978, 0.002762738726298811}}","{{0.15047817514693618, 0.0002934790070392559}, {-6.220210122225272, 0.0027149261631791706}}","{{0.15003110328980715, 0.00028745849500336256}, {-6.217378667130124, 0.002712461868165558}}","{{0.14982060915712986, 0.0002832017594271965}, {-6.2159753729122755, 0.002725284445872368}}","{{0.150193015374103, 0.0002835289701157351}, {-6.218582216431087, 0.0027373011978190586}}","{{0.15128283303030143, 0.0002838901301371505}, {-6.2265742125765415, 0.0027262115670177874}}","{{0.15378385531023775, 0.0003080715995705758}, {-6.245748716722721, 0.0028388114051085393}}","{{0.15711946948012284, 0.00034948635104507716}, {-6.272433630081803, 0.0030910512464263403}}","{{0.16067639632452513, 0.0003987826057729083}, {-6.302074687118485, 0.003441135111847704}}","{{0.16530812571772074, 0.0004938128167437752}, {-6.3422163418595146, 0.004125717339252578}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13665122108892136, 0.0009107992378806441}, {-6.166658001425663, 0.004518947472916066}}","{{0.1350020216688414, 0.0006842724893014401}, {-6.160610936885374, 0.003912840038673459}}","{{0.1329636716909176, 0.0005678158254235594}, {-6.152457536973676, 0.003573801363421685}}","{{0.1477624480831627, 0.000492826975201509}, {-6.216585568006739, 0.003366574046278931}}","{{0.1519804790946563, 0.00043676486955287753}, {-6.236269712727043, 0.0031963645252951734}}","{{0.15197582914996524, 0.00040541036619213877}, {-6.236246463003585, 0.003107796101261748}}","{{0.15127250708240184, 0.0003802503878514923}, {-6.2324954119765845, 0.0030145952274241673}}","{{0.15382724291625, 0.00035612725304955047}, {-6.246972248368389, 0.0029441453883677113}}","{{0.15365034624207122, 0.0003309213890894985}, {-6.245910868323316, 0.0028529531409707915}}","{{0.15246705908066666, 0.00031728787158248026}, {-6.238416716301088, 0.002833397173906729}}","{{0.15161987542023148, 0.00030218189467918756}, {-6.232768825231525, 0.0027948218231042448}}","{{0.15094583611589896, 0.00029758751288792493}, {-6.228050550101192, 0.002813537754081973}}","{{0.15058531172205192, 0.00029506530389150366}, {-6.225406704546313, 0.0028533089112831207}}","{{0.1509086808955322, 0.00029745962987741127}, {-6.227885868209665, 0.0028935842800404373}}","{{0.15204251644993813, 0.00029915795235360725}, {-6.2369565526449104, 0.0029026008989934907}}","{{0.15473702082546376, 0.00032646647320016034}, {-6.259410755774292, 0.003061647357466087}}","{{0.1583234190642602, 0.00037344281454533605}, {-6.290492873843859, 0.003406183153396139}}","{{0.16211564363468878, 0.0004283476649871834}, {-6.3246228949777175, 0.0038634363740015915}}","{{0.1670514189405541, 0.0005314211439388627}, {-6.370690131165798, 0.004704731443891776}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13412316309729377, 0.0007263075001681362}, {-6.155923691170455, 0.0042720818537244154}}","{{0.1315050674161847, 0.0005848439682229459}, {-6.143705911325279, 0.0037793087660242773}}","{{0.15280679607522207, 0.0005150770364072415}, {-6.250214554620467, 0.0035877051350817245}}","{{0.15674938809319142, 0.0004620501482246418}, {-6.271241712049639, 0.0034267908423220054}}","{{0.1553808641647235, 0.0004290068047147645}, {-6.26348674312165, 0.003330321918182626}}","{{0.1536504528265786, 0.0003995410512990675}, {-6.25310427509278, 0.0032080073834934385}}","{{0.1562444753470204, 0.00037208330715737716}, {-6.269533084388914, 0.003122660269415072}}","{{0.15554875285185196, 0.00034294432525566856}, {-6.264894934421124, 0.0030071163772448922}}","{{0.15380515773205025, 0.0003274779577997116}, {-6.252689768582513, 0.002982971130964988}}","{{0.15259376035297836, 0.0003113492876569584}, {-6.243806187802651, 0.0029430998115949555}}","{{0.15166619424294084, 0.0003071665781443577}, {-6.236694847625702, 0.0029732224219333504}}","{{0.15115125806039637, 0.0003062725475165822}, {-6.232575358165346, 0.0030388209586576145}}","{{0.15144228361189394, 0.00031144063392588126}, {-6.235000571094488, 0.0031144151593784438}}","{{0.15265114827105605, 0.00031480786603248873}, {-6.245477398140561, 0.003146766900204595}}","{{0.1555910494176882, 0.0003462777749026622}, {-6.27193650846025, 0.00336307896407776}}","{{0.15948104428388135, 0.00040053389612674573}, {-6.308243127211386, 0.0038239113237289483}}","{{0.1635505951017633, 0.000461917732332269}, {-6.347582118450913, 0.0044013649656353}}","{{0.16883645279150833, 0.0005738488060743842}, {-6.400440695348362, 0.005410513987693511}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12869637658972993, 0.0005733205516830137}, {-6.125917536091066, 0.0039419717675212}}","{{0.16205331499150788, 0.0005789061263724661}, {-6.31494018703447, 0.004139340871750567}}","{{0.16387433625015482, 0.0005251643477343608}, {-6.325866314586353, 0.003973312895313007}}","{{0.1596746549598743, 0.00047733112829305505}, {-6.299268333081243, 0.0037867454248154873}}","{{0.15622304301221632, 0.0004328116304877157}, {-6.276257586763523, 0.003557738607329232}}","{{0.15882242361635948, 0.00039548353530110875}, {-6.2944532509925235, 0.003408711973463766}}","{{0.15739921872907853, 0.0003601565595870634}, {-6.2840164151524665, 0.003249837978704018}}","{{0.15493681140987084, 0.0003413941480668763}, {-6.265137959038538, 0.0032077101260814768}}","{{0.15329940474772707, 0.00032413690819308464}, {-6.252038705741388, 0.003165960886517447}}","{{0.15209963688689293, 0.0003202055937249386}, {-6.242040640234442, 0.003205665078272279}}","{{0.15143879626950196, 0.00032130860880871153}, {-6.236313354883717, 0.0033025456357414495}}","{{0.15173032001277045, 0.00032973489811486285}, {-6.238937068573132, 0.003421600302909729}}","{{0.15306196177303708, 0.0003346433889915415}, {-6.251365725002288, 0.003478150159239904}}","{{0.15631799887525033, 0.0003707857830808146}, {-6.282840750323686, 0.0037617376213280227}}","{{0.16058011673069436, 0.000432650224542152}, {-6.32546192887812, 0.004348564792308041}}","{{0.16497972070091774, 0.0005000449053127026}, {-6.370924503237097, 0.005041842583711624}}","{{0.1706715501896719, 0.0006214295918670976}, {-6.43163735111714, 0.006231145628776793}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18354563879589703, 0.0008001006269717643}, {-6.472550561599986, 0.005715328723837178}}","{{0.17553100878166825, 0.0006386797361996878}, {-6.419119694838462, 0.0048841459993029974}}","{{0.16498878596267058, 0.000541242117125463}, {-6.345324135105475, 0.004369774644310565}}","{{0.15861525969819523, 0.0004711422137686443}, {-6.298584942499325, 0.003951249378874826}}","{{0.16127382999324275, 0.00042211490997062534}, {-6.318967314761359, 0.003729086375163162}}","{{0.15888197228992051, 0.00038100589346309075}, {-6.2998324531347745, 0.0035356436542186473}}","{{0.1555428625529229, 0.0003602022520185419}, {-6.272006538659801, 0.0034914302284290424}}","{{0.15345676432974162, 0.000341558970757967}, {-6.253927020725562, 0.003449731784700106}}","{{0.15201024602475197, 0.0003386267175313669}, {-6.2409083559806495, 0.0035102482628968736}}","{{0.15125416378148654, 0.000342420629340237}, {-6.233851588376847, 0.0036514865999134538}}","{{0.1516189423295679, 0.0003545380882132045}, {-6.237377781008298, 0.0038252939576691454}}","{{0.1531567297246154, 0.0003611432716247776}, {-6.252755654958771, 0.00391336571771638}}","{{0.15683426938024686, 0.0004023409682137422}, {-6.29075689806696, 0.004277207305354753}}","{{0.16156461815449724, 0.0004729043932120659}, {-6.341213951658971, 0.005016280567257734}}","{{0.16636599889488743, 0.0005462641366308553}, {-6.39402913980326, 0.005832344466808628}}","{{0.1725362229719508, 0.0006783798809810309}, {-6.463958346009977, 0.007233285977438579}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18921664463771046, 0.0007651206133841617}, {-6.533166660305479, 0.0060860015112069775}}","{{0.1665604924811943, 0.0005996997947273552}, {-6.359469493772188, 0.005059588875332805}}","{{0.15700887310351988, 0.0005153228529798718}, {-6.283056538750798, 0.004520934227265122}}","{{0.16108909569514104, 0.0004600883086370921}, {-6.317058393680973, 0.004268357507106164}}","{{0.15806663130461093, 0.0004139420302908454}, {-6.290863702296375, 0.004042541174165701}}","{{0.15409657937969418, 0.00039090349238706906}, {-6.255133234972123, 0.0039876255672408895}}","{{0.1518683000342992, 0.0003705665911548264}, {-6.234335961081773, 0.003938070824365407}}","{{0.15045017092740123, 0.00036807859289153717}, {-6.220627379715094, 0.004009331396382752}}","{{0.14984026920306032, 0.0003738442911671466}, {-6.214528362471684, 0.004185110552514633}}","{{0.15050149327222553, 0.00038839000435542657}, {-6.221361011186391, 0.004398552295392255}}","{{0.1524477785830256, 0.00039503816307905255}, {-6.242121387834921, 0.004497336805012092}}","{{0.15675195978111797, 0.0004400850528762129}, {-6.289467381013947, 0.004925063053710065}}","{{0.16212399633848523, 0.0005196729239917046}, {-6.350350461997437, 0.005824068589625635}}","{{0.16745562739842554, 0.0005996232020626163}, {-6.412552824363406, 0.006776322200574247}}","{{0.17422356860178606, 0.000743718576529997}, {-6.49376811880373, 0.008415282096095282}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13431800379193137, 0.000695498446265419}, {-6.058539599339068, 0.00647258035387005}}","{{0.13611181907004988, 0.0005872602693923803}, {-6.074085998416097, 0.0056140157527199835}}","{{0.15018295231170437, 0.0005337407351792293}, {-6.200726197590984, 0.005357198486028697}}","{{0.14978838091881463, 0.000478580448461541}, {-6.19704353125735, 0.005030970708592783}}","{{0.14704924283986018, 0.00045071009657157344}, {-6.170565196494123, 0.004918257121192126}}","{{0.1460257277930767, 0.00042506169557269055}, {-6.160330046026286, 0.0048101144993166235}}","{{0.1455908082715839, 0.0004192396115798401}, {-6.155835877637527, 0.004842916119639522}}","{{0.1458307987335375, 0.00042383385097267485}, {-6.158395775898367, 0.0050131609996475176}}","{{0.1473412399915553, 0.00043834442985855773}, {-6.175010629736562, 0.005236670509468397}}","{{0.1501386150676015, 0.0004431005938829972}, {-6.206714213931755, 0.0053236020122382054}}","{{0.15546023391392652, 0.0004913174080105334}, {-6.268799767138876, 0.005812681990354178}}","{{0.1617842365319447, 0.0005800336319878233}, {-6.344687798555095, 0.006882800010639691}}","{{0.16787205304074926, 0.0006663465839346762}, {-6.419770868830354, 0.007976836859956475}}","{{0.17543393368923965, 0.0008230047507624679}, {-6.5155546903779005, 0.009875856558726501}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13614653622511633, 0.0006948839030924256}, {-6.074444742351788, 0.006731645867326396}}","{{0.15723587751007556, 0.0006562615629974422}, {-6.278308374773065, 0.0067585867279286}}","{{0.1538623074806753, 0.0005656721838778106}, {-6.244572674479059, 0.006118102407704249}}","{{0.14885214785478573, 0.0005218877484791276}, {-6.1928010250115335, 0.005869434708360589}}","{{0.14702108421894214, 0.00048633392679131094}, {-6.173269679562537, 0.005678788927704457}}","{{0.14622859571060828, 0.00047458857643088053}, {-6.1645523059708625, 0.005662890725723356}}","{{0.14638018684432422, 0.0004743646973409209}, {-6.166270338819641, 0.005800190197425745}}","{{0.1480828387317898, 0.00048732444565198794}, {-6.186134610840075, 0.006026182858755449}}","{{0.15125399132343711, 0.0004902454886860872}, {-6.224188441939844, 0.006109451073813512}}","{{0.1572766506015102, 0.0005445075712116898}, {-6.298467906369413, 0.006712919178434081}}","{{0.16429412797805695, 0.0006471175984274222}, {-6.387355953139006, 0.008050085179254027}}","{{0.17089307663867495, 0.0007423385510272307}, {-6.4731422857270395, 0.009345243558806204}}","{{0.1790604048939069, 0.0009157855037226027}, {-6.582039995796797, 0.011599391855541931}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.17306610887477494, 0.0008648498532059154}, {-6.457717663572997, 0.009428199784233829}}","{{0.16009063814833213, 0.0006777846256966604}, {-6.31931264249094, 0.007744816781984701}}","{{0.15058508240502316, 0.0006079312852741417}, {-6.214751529314544, 0.007198302362583237}}","{{0.1475660193738164, 0.0005679962970242595}, {-6.1805354816275315, 0.006967080764948719}}","{{0.1463914098188525, 0.0005488494937776049}, {-6.166831703486281, 0.006864168790268239}}","{{0.1465401952089386, 0.0005415944350131671}, {-6.168617128167323, 0.0069263001632589504}}","{{0.14858565676814744, 0.0005477964959881398}, {-6.193844487397564, 0.007072214749873395}}","{{0.15229047627085224, 0.0005474184456361415}, {-6.240772201098487, 0.0071268048410534955}}","{{0.15921971269995436, 0.0006084003077585389}, {-6.330852274676814, 0.007853185595495065}}","{{0.16708292595618515, 0.0007265955399974851}, {-6.435695118093227, 0.009488775926733167}}","{{0.17426805164487807, 0.0008318466078265276}, {-6.533891835838697, 0.011010607893209545}}","{{0.1831200017928285, 0.001024902796483186}, {-6.65781913791, 0.013680760335843735}}"
