"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"{{0.1484400547741034, 0.0017448720974254542}, {-6.079783776577412, 0.004761701873827655}}","{{0.13265672609916096, 0.0011722709523925945}, {-6.05347822878584, 0.0040771314902003485}}","{{0.12344989066189253, 0.0008850460913481567}, {-6.035064557911307, 0.0036746646030666684}}","{{0.11870612555200476, 0.0006863345203745726}, {-6.023995772654899, 0.0033794121659950376}}","{{0.11616186357457142, 0.0005621225366208294}, {-6.017211074048414, 0.00317700166231684}}","{{0.11634032241759554, 0.00047535205580313567}, {-6.0177464505774845, 0.003010012976309888}}","{{0.11754703495564638, 0.0004089277414525999}, {-6.021768825704319, 0.002870236588679059}}","{{0.11918584331894858, 0.00036240519496772686}, {-6.0277777897030935, 0.00275413163239858}}","{{0.12605513665553614, 0.00032985724179377627}, {-6.055254963049443, 0.002664971933106561}}","{{0.13220338008503618, 0.0003072199299579738}, {-6.081897351243942, 0.0025878046238432275}}","{{0.1383695513141152, 0.00029044263021604186}, {-6.110672816979647, 0.0025042767044910217}}","{{0.1455652066463274, 0.0002886967441574329}, {-6.146651093640711, 0.0024699906430450773}}","{{0.15254393531039007, 0.0002877108716002166}, {-6.1838709798490425, 0.0024621129665341585}}","{{0.16759870496672505, 0.00035009736311290563}, {-6.269181341234935, 0.0026972514971217187}}","{{0.17923203457106307, 0.0004642931477829554}, {-6.338981318860967, 0.0032296335521442322}}","{{0.18840424225414729, 0.0005712942209497625}, {-6.397071967520506, 0.003835079940612544}}","{{0.19908804545448877, 0.0007084511113197624}, {-6.468297322189446, 0.00474027724346039}}","{{0.20840764480180327, 0.0009185988280790738}, {-6.533548500291143, 0.006170807746697303}}"
2,"{{0, 0}, {0, 0}}","{{0.11321102631754634, 0.0009011149951190505}, {-5.988659229513794, 0.003730602593792704}}","{{0.10912362305244973, 0.0007085679318588814}, {-5.977759487473533, 0.0034510976452659533}}","{{0.10821285894238328, 0.0005850215026991933}, {-5.975027195143332, 0.003308597865956147}}","{{0.10831826517568018, 0.0005088102676919962}, {-5.975378549254324, 0.0032059787200544956}}","{{0.1107887403735361, 0.0004521071198318882}, {-5.984436958313128, 0.0030995450471005765}}","{{0.11368502655711524, 0.00040366787343213214}, {-5.996022103047446, 0.0029986521023871796}}","{{0.11654623864526956, 0.00036731539669942933}, {-6.008420688762783, 0.002900467893280607}}","{{0.12531731158390957, 0.0003361091746110691}, {-6.049352362476436, 0.002801362158734274}}","{{0.13271756746816085, 0.0003172158198838463}, {-6.086353641897693, 0.0027288556913223415}}","{{0.13982573600489842, 0.00030396059116195005}, {-6.124263874093624, 0.002650824491253199}}","{{0.14790438682040744, 0.0003073829773524937}, {-6.1700428953815045, 0.0026434829882361678}}","{{0.15554590812589622, 0.0003132624714805646}, {-6.215892023214439, 0.002690529640404166}}","{{0.17220771736100843, 0.00038235489381093}, {-6.321416815036818, 0.003007040769905783}}","{{0.18471908661660322, 0.0005060889610684007}, {-6.40482594340745, 0.0036765885493561037}}","{{0.19432484202175115, 0.0006216067516656668}, {-6.472066231243486, 0.004425136256349002}}","{{0.20553789004795306, 0.0007695796383432383}, {-6.554295250102298, 0.005519651817790127}}","{{0.21515942708656632, 0.0009984260424674564}, {-6.628073452277832, 0.007266241807826021}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10357915872185423, 0.0007624094575605406}, {-5.953733475374285, 0.003969776810036688}}","{{0.10498524472205446, 0.0006187264341817158}, {-5.958889124041689, 0.003721228801863454}}","{{0.10642385913679922, 0.0005410856972475335}, {-5.9646435817006624, 0.0035732775700099153}}","{{0.11034929474690205, 0.00048189983299295347}, {-5.981653802677783, 0.0034231909938055266}}","{{0.11419864716197123, 0.00043254987450487645}, {-5.999617447281438, 0.0032981006264254896}}","{{0.1176467571209487, 0.00039369768762748147}, {-6.016857997076321, 0.0031700534720069187}}","{{0.1281223977180258, 0.0003576898091175886}, {-6.072728080260736, 0.0030323503968094296}}","{{0.1364416875523034, 0.0003382623286938774}, {-6.119870722654971, 0.0029470579910591548}}","{{0.14416513762587643, 0.0003236724950714655}, {-6.1662114230964145, 0.0028507271785517528}}","{{0.15286699664047412, 0.00032931804743939166}, {-6.221323196855533, 0.0028587290442917968}}","{{0.1609206581744895, 0.00033827209508745693}, {-6.275014273748967, 0.002943410501241393}}","{{0.17919490443624728, 0.0004156734432367313}, {-6.402933997581271, 0.0033588919432055017}}","{{0.19244283131588905, 0.0005540299284928512}, {-6.500085461365314, 0.004226117442636221}}","{{0.2022838380592705, 0.0006804238669587974}, {-6.575533179731234, 0.00515485169067863}}","{{0.213879715731199, 0.0008420514683231154}, {-6.668300201106664, 0.006486271791028116}}","{{0.22364331380805136, 0.0010926266222055561}, {-6.74967582861911, 0.008605838715238772}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1055315416774845, 0.0006544185641355596}, {-5.961802707803985, 0.0040352604286974895}}","{{0.10741631482188957, 0.0005615076759713657}, {-5.970598315811207, 0.0038189004608968503}}","{{0.1125149424019984, 0.0004949515406263835}, {-5.996091453711752, 0.003614473913067928}}","{{0.11692552973705621, 0.000445810868956325}, {-6.019614586165394, 0.0034836380182553034}}","{{0.12057970466286237, 0.000405852084534278}, {-6.040321577411629, 0.0033362042100702712}}","{{0.1329410185237291, 0.00036825189204826224}, {-6.114489460576831, 0.0031777245733047633}}","{{0.14203823480880107, 0.0003530764481171191}, {-6.172105163715619, 0.0031120964668817207}}","{{0.15018706544578936, 0.00034045474138078973}, {-6.226430701295539, 0.0030204636089199424}}","{{0.15937618467760264, 0.00035123143215124553}, {-6.290754535918235, 0.003072233493560715}}","{{0.16768725846109905, 0.0003653938990251738}, {-6.351702410330539, 0.0032240569891968376}}","{{0.18773191179595589, 0.00045373276729799466}, {-6.505378085897777, 0.0037757170284765046}}","{{0.20165282717844638, 0.0006103681594995246}, {-6.6167454089577005, 0.004899501526877291}}","{{0.2115779687059368, 0.0007487304274273342}, {-6.6994549216867885, 0.006034645282111457}}","{{0.22346156475602372, 0.0009278148417149564}, {-6.802446087454204, 0.007669924154695307}}","{{0.23324626198475634, 0.0012034641890096142}, {-6.890519068544119, 0.010227528752983023}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10971471828140672, 0.0006276553802477079}, {-5.985154871054812, 0.0044577188831530085}}","{{0.11621345792180594, 0.000535702504093005}, {-6.021981062350408, 0.004052540813715081}}","{{0.12090887398296805, 0.0004843586765841734}, {-6.0501535587173825, 0.0038922563586962253}}","{{0.12445332580207037, 0.0004387561430502947}, {-6.072601753571693, 0.003691237304395746}}","{{0.13923969472626846, 0.00039593715998586425}, {-6.171177546399686, 0.0034867654022839685}}","{{0.14903654603197386, 0.0003835706898191706}, {-6.239755505539622, 0.003437769032552724}}","{{0.15744104764981023, 0.0003716581533219285}, {-6.3013885174037565, 0.0033481940069682537}}","{{0.1670171942871817, 0.00038920276158398436}, {-6.374805641623601, 0.003472957619143541}}","{{0.1754500979204805, 0.00040730141537350165}, {-6.442268870689998, 0.0036946083704094686}}","{{0.19754172023458444, 0.0005078689021667443}, {-6.626365723307528, 0.004415515856940477}}","{{0.2120951136084372, 0.0006840370177773807}, {-6.752495132547582, 0.005831663586486403}}","{{0.22194637729271402, 0.0008340915163230012}, {-6.841156505706076, 0.007183297212399828}}","{{0.23403199833790878, 0.0010332012099312812}, {-6.953955635461231, 0.00917587343324455}}","{{0.24371823312464033, 0.0013359928593011487}, {-7.047598635642381, 0.012219682248622136}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12089845518680967, 0.0005690429186661072}, {-6.056337708960431, 0.004324305816813159}}","{{0.12559908064604614, 0.000501587770190829}, {-6.087675212022008, 0.004106440832592783}}","{{0.1286852305275588, 0.0004497034322649653}, {-6.109278261192597, 0.003859748498652592}}","{{0.14698975418466065, 0.0004078359729287599}, {-6.24351143467801, 0.0036622882979756863}}","{{0.15737140316102738, 0.00040849158482835385}, {-6.323104076830157, 0.0037203267860533534}}","{{0.1657933159010591, 0.0004016787858129659}, {-6.390479378750411, 0.003676570411864422}}","{{0.17564143551312342, 0.00042861973493813084}, {-6.472547042184276, 0.0039123221434853705}}","{{0.1840360716278954, 0.00045183943470912985}, {-6.545300555178971, 0.004227636997449169}}","{{0.2085832664159417, 0.0005730121114635724}, {-6.766225308271387, 0.005225879310870028}}","{{0.22372196765521107, 0.000775626475195171}, {-6.907519853171237, 0.007040074405531135}}","{{0.23330006359141123, 0.0009390355007323942}, {-7.000108113887837, 0.008646367089958973}}","{{0.24549024674324801, 0.001161010468725352}, {-7.122009945406205, 0.011057099650992153}}","{{0.2549401220047754, 0.0014947654240996925}, {-7.219667598471122, 0.014666694195081117}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13210823908261232, 0.0005954089007593298}, {-6.141918198993396, 0.005007068789796178}}","{{0.1334828846865988, 0.0005029995663912834}, {-6.152457148623961, 0.004440957614227679}}","{{0.1571901561429263, 0.0004580160891102254}, {-6.342115320274579, 0.004225272355310116}}","{{0.16763222079199255, 0.00046896945535171864}, {-6.42913252568347, 0.004388382951497569}}","{{0.175528732134613, 0.0004584326660192241}, {-6.497568957319507, 0.004324278882455707}}","{{0.1854050275913077, 0.00048758797019197276}, {-6.586455616429762, 0.004614777959014969}}","{{0.19349545126976403, 0.000511216458957004}, {-6.661966237428682, 0.004983172891324115}}","{{0.22106020908704685, 0.000656487059950036}, {-6.9284255629957485, 0.006319154692031422}}","{{0.23668286642961894, 0.0008884349809247303}, {-7.084652136421473, 0.008586775106634933}}","{{0.24569716189278373, 0.0010644412076876637}, {-7.17779985620751, 0.01045165833583553}}","{{0.2578555119446921, 0.001311269195808612}, {-7.307488923427865, 0.013330359244743626}}","{{0.2668889234335787, 0.0016808849023030826}, {-7.406865487522369, 0.017606001688406363}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13476050159079012, 0.0005719878455498702}, {-6.16438157306307, 0.005268085053043052}}","{{0.16968260032318472, 0.0005425525721935131}, {-6.467039762077162, 0.00519394775368664}}","{{0.17930451315977092, 0.0005575200609543465}, {-6.553636977606435, 0.005411173004544853}}","{{0.1859424308273435, 0.0005292511936231401}, {-6.615590875837114, 0.005185452848113501}}","{{0.1956651825023105, 0.0005567300760876228}, {-6.70957747536179, 0.00549048695503104}}","{{0.20321317337263164, 0.0005812904214680515}, {-6.785057384065011, 0.005926848198794335}}","{{0.23474393912645106, 0.0007598313514309442}, {-7.110875296854479, 0.007730320920726927}}","{{0.25075438192965566, 0.0010272017513330237}, {-7.281653353421991, 0.010552683287590858}}","{{0.2588491828406622, 0.0012150197643380932}, {-7.370696163443058, 0.012682862686426363}}","{{0.2708419210765767, 0.0014888624071670842}, {-7.506613863450092, 0.016087204450660843}}","{{0.2792674052574131, 0.0019002917375494893}, {-7.604921196703723, 0.02115366293066635}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1934869004793025, 0.000734547713918238}, {-6.713017530357051, 0.007245713563649075}}","{{0.19601761965613385, 0.0006956450061763744}, {-6.737481149066427, 0.006983369850270036}}","{{0.19862546179218402, 0.0006226435724163809}, {-6.763559570426922, 0.006321512920125694}}","{{0.2073614537038631, 0.0006424595825512551}, {-6.853831486847611, 0.006590724549860716}}","{{0.21372422162240365, 0.000665233821567391}, {-6.921701011312041, 0.007085573295988752}}","{{0.2505099167522334, 0.000894812424221387}, {-7.326343657740166, 0.009621294469745516}}","{{0.266574685150421, 0.0012046647665292067}, {-7.508411032919624, 0.013130345674830133}}","{{0.2731243855994775, 0.0014016710077878133}, {-7.5848242048252885, 0.015515943933914462}}","{{0.2847021302857726, 0.0017051062655914152}, {-7.723757141060831, 0.019521668800220944}}","{{0.2922219375759285, 0.0021652372105652896}, {-7.816511891239477, 0.02553203232975602}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.21675733106898804, 0.0008898788655536788}, {-6.972531211745438, 0.009327541964176659}}","{{0.21029923856664431, 0.0007182063640898381}, {-6.9036448917204485, 0.007600739001804376}}","{{0.2178601165332102, 0.0007394687733885978}, {-6.986814549352672, 0.00793670172234153}}","{{0.22284425281481227, 0.0007650103062176119}, {-7.0433014272108245, 0.00856188719420877}}","{{0.26753442335533434, 0.0010706346273225175}, {-7.564686750183584, 0.012181136107703739}}","{{0.2833592572022965, 0.0014317961240572585}, {-7.7545847563471275, 0.01653001143271991}}","{{0.28763454173961395, 0.00163194811681771}, {-7.807313265640715, 0.01910882170017512}}","{{0.2986258041351401, 0.0019671649772438934}, {-7.946535922650712, 0.02378938841959971}}","{{0.3049815193327849, 0.0024844040358330812}, {-8.029171587187076, 0.030928660105382103}}"
