"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,"{{0.1464733339756167, 0.0026885078383054074}, {-5.13269177559854, 0.0076878171554140935}}","{{0.14407383899367524, 0.0019534384650733037}, {-5.128692617295304, 0.006847418625534964}}","{{0.14704545076463, 0.001543177233508533}, {-5.134635840837214, 0.006273603753260051}}","{{0.15260832641876756, 0.0013280073637247692}, {-5.147615884030204, 0.005920267198175822}}","{{0.15860985657687404, 0.0011712757653419218}, {-5.1636199644518195, 0.005572777845738568}}","{{0.16496142428450916, 0.0010258980924469417}, {-5.182674667574725, 0.005186985453426245}}","{{0.17214444689095543, 0.0009765167595928971}, {-5.206618076262879, 0.005029182306883363}}","{{0.1804984723718731, 0.001006230940790256}, {-5.237249503026241, 0.005065006343513336}}","{{0.19053622071423085, 0.001048778511431088}, {-5.277400496395677, 0.005194663770323523}}","{{0.2015233046279947, 0.0011975978239057113}, {-5.325011193355316, 0.005781661244285142}}","{{0.212687101229132, 0.0014071700095945377}, {-5.377108910827295, 0.006606935564539901}}","{{0.22322564829800684, 0.0016671639200200464}, {-5.429801646171669, 0.008008092170793684}}","{{0.23278395523439252, 0.002151003796816304}, {-5.480725330218384, 0.010975715502319256}}","{{0.24159265815155537, 0.002613246087931806}, {-5.530787808807593, 0.013732934857381342}}"
2,"{{0, 0}, {0, 0}}","{{0.13979188187701486, 0.001692391758333655}, {-5.114419426906434, 0.006634495935958202}}","{{0.1463902780917763, 0.0014459304901628671}, {-5.132015150145799, 0.006303397035043736}}","{{0.1544403730767097, 0.0013477963203058294}, {-5.156165435100597, 0.0062054577142550815}}","{{0.1618317310682051, 0.001218695284656895}, {-5.180803295072253, 0.005893780119060464}}","{{0.16907749683764023, 0.001071100913602278}, {-5.2073711028935135, 0.005459196432491956}}","{{0.17702725695741608, 0.0010382937964935135}, {-5.239170143372613, 0.00538369674717432}}","{{0.18615266364154665, 0.0010956712013417624}, {-5.278713572337182, 0.005608469259993236}}","{{0.19706712339844057, 0.0011363584885719002}, {-5.329647717869352, 0.00578411749364973}}","{{0.20886442208121497, 0.0013113434029035824}, {-5.388634211283224, 0.006667393857512754}}","{{0.22066533187367127, 0.0015477441841409575}, {-5.451572396842992, 0.007827212825564957}}","{{0.2315977737770595, 0.0018454024399084188}, {-5.513522900962194, 0.009746330159175018}}","{{0.2413294279186037, 0.0023938549585584305}, {-5.571877038849971, 0.013583260079607798}}","{{0.2501818009765443, 0.0029083745273614085}, {-5.6281314274908025, 0.017117893622239297}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.15124435199745098, 0.001598696224923079}, {-5.153049470403724, 0.007260444646939549}}","{{0.16089245752201578, 0.0014729191246178192}, {-5.188425857327128, 0.0070495413289755875}}","{{0.16865952493198505, 0.0013161315643001527}, {-5.219494126967001, 0.006601733384609659}}","{{0.17604461466997312, 0.0011487461512887493}, {-5.251496182498288, 0.006070965417048143}}","{{0.18427512972901866, 0.0011426547965176215}, {-5.289905252773833, 0.006180852487572918}}","{{0.19386991989128, 0.0012304072320879576}, {-5.337879203585141, 0.006664618950157051}}","{{0.205494869316433, 0.0012777837595460834}, {-5.399878933852622, 0.006975098631357365}}","{{0.21796607855216327, 0.0014906742944792398}, {-5.47054911952176, 0.008298853295158965}}","{{0.23025776167580284, 0.001757279515483738}, {-5.544299218263598, 0.009871964650286977}}","{{0.24141353892940057, 0.0020943130125154505}, {-5.61495247420305, 0.012364155381158662}}","{{0.25113554225592055, 0.002704755774173177}, {-5.679744296560456, 0.017069524397511707}}","{{0.2598602327009315, 0.0032606450899855827}, {-5.741046464275317, 0.02132800517642945}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.17068687481603292, 0.0015935198893518784}, {-5.2406627495618885, 0.00796717619951988}}","{{0.17744026728398057, 0.0013994958725560744}, {-5.272178581078979, 0.007350690048613443}}","{{0.1842670959763667, 0.0012225785700758663}, {-5.306312724540909, 0.0068186003344463415}}","{{0.19250028895296073, 0.0012663103530864378}, {-5.350223087082742, 0.007296742523911585}}","{{0.2024864022404583, 0.0014011121620522591}, {-5.406811062378565, 0.008185257262607265}}","{{0.21486346843460374, 0.0014569855716365621}, {-5.481073459543438, 0.008668306628286679}}","{{0.2280241465853472, 0.0017278228768110567}, {-5.564424421164814, 0.010644315145363788}}","{{0.24076255272707814, 0.0020373215076048014}, {-5.649347128776353, 0.012792866797542067}}","{{0.252036691108371, 0.0024203174274980005}, {-5.728266097445401, 0.015967802187094524}}","{{0.2616096766110927, 0.0030941405663738536}, {-5.798451152585741, 0.021594312280786284}}","{{0.27007078209085533, 0.003684515929390019}, {-5.863573056954406, 0.026569868935077144}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18506102292449783, 0.00156618709455573}, {-5.320443366802253, 0.008786684308440398}}","{{0.1914908881428137, 0.0013475664901201863}, {-5.356879269706042, 0.008133893793984241}}","{{0.20012784144347034, 0.001455181169529409}, {-5.4087009895099785, 0.009100702836433962}}","{{0.21090014166329518, 0.001640671136024025}, {-5.476925557568873, 0.010451013001236378}}","{{0.2244095869349577, 0.0016903126316853982}, {-5.566988526046621, 0.011013461571645842}}","{{0.23847390499829896, 0.0020254233734251347}, {-5.665438752490011, 0.013739236077524504}}","{{0.25172089952420335, 0.0023842267077205585}, {-5.762583379013311, 0.016568716039323594}}","{{0.2630581962223293, 0.0028213884176899805}, {-5.849502653698944, 0.020569315920996843}}","{{0.27236678441312495, 0.003572462363473419}, {-5.92395074360945, 0.02734265451730465}}","{{0.2804495330622798, 0.004202791027394818}, {-5.99157765226864, 0.03318964522857976}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1974503536626357, 0.0016273399329126029}, {-5.400582016851395, 0.010955457675030507}}","{{0.20742605085370536, 0.0017501449312818035}, {-5.467086664791861, 0.011979016572644672}}","{{0.21958798739736685, 0.001954408199142656}, {-5.552220220597494, 0.013534756844950887}}","{{0.23470463251489337, 0.001979560295765542}, {-5.663075618126023, 0.014051665459378094}}","{{0.2498458855734937, 0.002397438887135939}, {-5.77915855824196, 0.017757415328271586}}","{{0.263561633587075, 0.002808498360350715}, {-5.888884542350611, 0.021351727440723}}","{{0.2747870553152566, 0.0033064057598254804}, {-5.982429723418782, 0.026322807000961814}}","{{0.2836090084409764, 0.00414942567793699}, {-6.058857431943666, 0.03450329050314967}}","{{0.29112904521881344, 0.004858604611773972}, {-6.126851472918063, 0.041792715937043534}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2165334038528618, 0.002287701868359887}, {-5.542981273118167, 0.016955615864577927}}","{{0.2302226321687767, 0.0024813777768901498}, {-5.647932023540181, 0.018621558820157334}}","{{0.24713207742475088, 0.0024286683905300585}, {-5.7832075855879745, 0.018760650892789225}}","{{0.2631779331995982, 0.002925663773331047}, {-5.91692305037837, 0.02354506259844679}}","{{0.27700330989531424, 0.0033739909449656343}, {-6.036742981741241, 0.027864383324339916}}","{{0.28767466797848396, 0.003934989719257355}, {-6.1327852044897675, 0.033963224467930216}}","{{0.295590539852649, 0.004881439800331534}, {-6.206629652687628, 0.0438194547506013}}","{{0.3022437393452141, 0.0056924035732388535}, {-6.2713424965612745, 0.05298899389355707}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.24325291290435822, 0.0031981782747581493}, {-5.769547977072278, 0.025616408990859287}}","{{0.26210194042052776, 0.002982518622520712}, {-5.932906215545744, 0.024809699218431652}}","{{0.2785781933070001, 0.0035773016923257364}, {-6.081192491523992, 0.03096249995876202}}","{{0.2918786088654921, 0.0040834339719639625}, {-6.205329703403256, 0.03634307897884981}}","{{0.30134884098094195, 0.004745800952779803}, {-6.29687528051927, 0.044171013955611196}}","{{0.30781961584980283, 0.005813376845943376}, {-6.361531281984907, 0.056056505553169725}}","{{0.313278662420453, 0.006760692165513922}, {-6.418474804231124, 0.06780665456908366}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.27967033325682955, 0.0037806851349573745}, {-6.114446274854198, 0.034519427796102356}}","{{0.29560051616839766, 0.004493963070840621}, {-6.268438042999367, 0.04203901275362175}}","{{0.30741216880572153, 0.005045667685977869}, {-6.386554569372598, 0.048398846875437225}}","{{0.31486129164624804, 0.005838526333567141}, {-6.463528838724708, 0.05846652503633356}}","{{0.3193035736779859, 0.007016731604366676}, {-6.510822733751294, 0.07238355287670106}}","{{0.3233161420538904, 0.008170485206563887}, {-6.555653692554772, 0.08795467897880944}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.31335740373472915, 0.00608029962758025}, {-6.469682768751126, 0.06135365278875532}}","{{0.3221964389075563, 0.0064708262024982775}, {-6.563965810594616, 0.06659752299073814}}","{{0.3267115028435591, 0.007371414033998277}, {-6.613631513890648, 0.07899135365245182}}","{{0.3286659690511215, 0.008596743459730155}, {-6.635654672059766, 0.09437458465547706}}","{{0.33123820790021735, 0.010113994068033288}, {-6.6665626144033485, 0.11639050360402908}}"
