"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,"{{0.1844892927985059, 0.0032617266953049026}, {-5.260187001387299, 0.009897188181361309}}","{{0.16002223794533305, 0.0023035328128324533}, {-5.219408576632009, 0.00854334579493614}}","{{0.14290705838601264, 0.0017202621859573135}, {-5.185178217513371, 0.007598613716368529}}","{{0.13086224614347858, 0.0013714593764326015}, {-5.157073655614126, 0.007006346951426357}}","{{0.12233862586177757, 0.001136046182869107}, {-5.134344001529589, 0.006560312868622211}}","{{0.1164883621603566, 0.0009706030475789626}, {-5.116793210425328, 0.006200547910798264}}","{{0.11280533617738905, 0.0008471711407339433}, {-5.104516457148766, 0.005914440819153871}}","{{0.1106503266116703, 0.0007563512837928396}, {-5.096614755407797, 0.0056889932042381245}}","{{0.11008319444078618, 0.0006931402602071817}, {-5.094346226724263, 0.0055225703196658885}}","{{0.11052754323260876, 0.0006382310835463333}, {-5.096271738155492, 0.005357513024357752}}","{{0.11184751064609243, 0.0005907451417314759}, {-5.102431586085082, 0.005187068150648628}}","{{0.11355816015646694, 0.0005562276537940554}, {-5.110984833636955, 0.005052209165128003}}","{{0.11572938583928888, 0.000526546328819886}, {-5.122564703945342, 0.004929255319089205}}","{{0.11816509929563052, 0.0005014597036644839}, {-5.1363670801979415, 0.004808835336266538}}","{{0.12089769058424149, 0.00048055855432358835}, {-5.15276262792961, 0.004692058390863385}}","{{0.12375771772638372, 0.0004687993520340977}, {-5.170876133163177, 0.004610821841093667}}","{{0.1267175737017224, 0.0004869723560121368}, {-5.190608506332101, 0.0046434329940211036}}","{{0.1297895878715303, 0.0005321247839352863}, {-5.212112605520756, 0.004832154713893301}}","{{0.13285231751995347, 0.0006220697611628821}, {-5.234572622942526, 0.005277595142658557}}","{{0.1358078487574638, 0.0007345802653255255}, {-5.257231695763436, 0.0060638105410020775}}","{{0.1385130832989272, 0.0008504958791415229}, {-5.278873572095147, 0.00693610472072129}}","{{0.141229360553828, 0.0009553668608681132}, {-5.301509215885983, 0.007772350996878244}}","{{0.14357549742730819, 0.0010888399109763077}, {-5.321842402122813, 0.008941854861883274}}","{{0.14543070554497295, 0.001248445412455831}, {-5.338539275181797, 0.010432266644393798}}"
2,"{{0, 0}, {0, 0}}","{{0.1330777008597495, 0.001642605702705039}, {-5.129593453013399, 0.006651197671916943}}","{{0.12087720006355938, 0.0012307618106710012}, {-5.097058784223557, 0.006021433614162802}}","{{0.11282640625299235, 0.0010413684353273564}, {-5.072906402791857, 0.005844204297835924}}","{{0.10747352584088724, 0.0009213174116323812}, {-5.055063468084842, 0.00571916860540129}}","{{0.10419892965931364, 0.0008327050323411602}, {-5.043056615419069, 0.005584408995412201}}","{{0.10266750530586558, 0.0007531383589726295}, {-5.036930918005275, 0.0054454533507024856}}","{{0.10228645603032606, 0.0006955862684784753}, {-5.03527970447794, 0.005346770582685601}}","{{0.10327867154153314, 0.0006525534023372112}, {-5.039910043530237, 0.005266549045459874}}","{{0.10504099700446108, 0.0006123226643758393}, {-5.048721670844877, 0.005168169862750009}}","{{0.10749538335821619, 0.0005726145278642347}, {-5.061811731398238, 0.005029537920167788}}","{{0.11013876776062928, 0.0005412454143137442}, {-5.076790909678583, 0.0049056702472886375}}","{{0.11310865316897419, 0.0005157029121598753}, {-5.09461022212865, 0.0048047165914827565}}","{{0.11621855944220334, 0.0004933924107164793}, {-5.114306295192436, 0.004697838015792363}}","{{0.1195360421235691, 0.00048165672296873486}, {-5.1364228464015405, 0.004648871391129522}}","{{0.12289273698368929, 0.0004765301906447493}, {-5.159919710422377, 0.00462470675692073}}","{{0.1262775748165876, 0.0005022172604451649}, {-5.184741854530299, 0.0047327724746911645}}","{{0.1297192745711258, 0.000561988241003828}, {-5.211128219315095, 0.005104122053862123}}","{{0.13309530851443216, 0.000668471512254063}, {-5.238136490861546, 0.005801676439573253}}","{{0.13630917691794545, 0.0007965130740205714}, {-5.264918727557493, 0.00687724299489625}}","{{0.13921476658495238, 0.0009221869420136319}, {-5.290100504671549, 0.007969301212000382}}","{{0.14210622592410338, 0.001035448890672238}, {-5.316123638723908, 0.009013011724142607}}","{{0.14457480208951737, 0.0011760134425590207}, {-5.339163682934441, 0.010377252216286482}}","{{0.14649848248361855, 0.0013430522696143787}, {-5.357759260077419, 0.012075082390584998}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1062395027366509, 0.0011006340660347912}, {-5.033628762473624, 0.006201867156258406}}","{{0.10148216068425628, 0.0010245908166011462}, {-5.016185174948176, 0.006305937102869556}}","{{0.0985258263348015, 0.0009451572775296202}, {-5.004359837550354, 0.006257547617590088}}","{{0.09714226459473312, 0.0008687444410571007}, {-4.998364403343391, 0.006115850223977059}}","{{0.09718948044446613, 0.0007927956226091961}, {-4.998584743975481, 0.005961978818592296}}","{{0.09808267506539042, 0.0007378234958792882}, {-5.003050717080099, 0.005857832803603366}}","{{0.10022955646018582, 0.0006946553215084649}, {-5.014500751185676, 0.005765477168762756}}","{{0.10295417003196836, 0.0006511210252453694}, {-5.029940228092446, 0.005639228771433358}}","{{0.10623423153595031, 0.0006079676556955835}, {-5.049620597116336, 0.005467627155744844}}","{{0.10952837197580996, 0.0005750370868356103}, {-5.070483486568781, 0.005325564524271046}}","{{0.11304906987541101, 0.0005508742139661812}, {-5.093954805899454, 0.005233863551690472}}","{{0.11661176037246757, 0.0005290852308430757}, {-5.118893639378851, 0.005131860125716211}}","{{0.12031914728731317, 0.000521640710319385}, {-5.146081143421053, 0.0051296619299126545}}","{{0.12399754085948095, 0.0005194284690005114}, {-5.174282160807671, 0.005147136688754636}}","{{0.12765061798145014, 0.000547424554418468}, {-5.203506777783424, 0.00530087689043432}}","{{0.13132216846817493, 0.0006164966443183742}, {-5.234103031839465, 0.005823693000470985}}","{{0.1348848487321399, 0.0007354638367618628}, {-5.26497959412716, 0.006744321528814726}}","{{0.13824114995423348, 0.0008740553187573832}, {-5.295186305126002, 0.00804126739879154}}","{{0.14123946501464232, 0.0010052146469469577}, {-5.323170579023151, 0.009283997055583448}}","{{0.14420972080010816, 0.0011235866815495672}, {-5.351883051615989, 0.010478178769691265}}","{{0.14671004316460112, 0.001269938222280088}, {-5.37688627526092, 0.012010606242083983}}","{{0.1486160935019536, 0.0014444347252257248}, {-5.396582128746891, 0.013914616949365499}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.09586856340440625, 0.0011211843071628601}, {-4.98624598945564, 0.007075415814048178}}","{{0.0942408605201518, 0.0010135914023668832}, {-4.978650042662456, 0.006894551087073578}}","{{0.09401786040991687, 0.0009219644323277446}, {-4.977535042111281, 0.006652357139561843}}","{{0.09512228293783098, 0.0008387472051983708}, {-4.983425295593492, 0.006456604242779914}}","{{0.09686130388091682, 0.0007826828085340479}, {-4.993279747604312, 0.006347611476807126}}","{{0.09985024842052859, 0.0007380005319588704}, {-5.011213414841983, 0.00624776773828275}}","{{0.10326462235040883, 0.0006901796039191263}, {-5.032837783064556, 0.006094117443422709}}","{{0.10713860569149931, 0.0006418650048408794}, {-5.058664338671827, 0.0058812644348622475}}","{{0.11086724909214282, 0.000608836756996254}, {-5.084764842476333, 0.005737370304157284}}","{{0.11475158378895507, 0.0005870555998326469}, {-5.113249963586288, 0.005672745636424795}}","{{0.11860045529885936, 0.0005706575038613191}, {-5.142757978495553, 0.00562848070548036}}","{{0.12255336964062771, 0.0005701461465670352}, {-5.174381293229702, 0.005714134959158776}}","{{0.12642431937530854, 0.0005738185369211377}, {-5.206639207685373, 0.005818760410216874}}","{{0.13023068382304587, 0.0006057587709798041}, {-5.239627699565762, 0.006050906530947211}}","{{0.13403064426802114, 0.0006836555343466973}, {-5.2738273435705425, 0.006740346782995213}}","{{0.13768823613911008, 0.0008143762025785157}, {-5.307964867700705, 0.007893071395361809}}","{{0.14110273881542726, 0.000962566125313013}, {-5.340971726905101, 0.009409336207043486}}","{{0.14411472649575788, 0.0010992054284441129}, {-5.371091603708413, 0.01081169294738948}}","{{0.1470940293578283, 0.0012223479617522353}, {-5.401877733283141, 0.012159588219397492}}","{{0.14955944388657327, 0.001374563210983527}, {-5.428175488256417, 0.0138707024082174}}","{{0.15138346375569817, 0.0015574260531892319}, {-5.448239706816789, 0.016008468859006583}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.0921407813981534, 0.0011296991625363352}, {-4.965349541556464, 0.007824035822265846}}","{{0.09285632079379591, 0.0009962750466104638}, {-4.969404264798438, 0.007331692245339602}}","{{0.09486712817932737, 0.0008942143488048375}, {-4.981469109111626, 0.007045449168338328}}","{{0.09727087435627471, 0.0008349906457319173}, {-4.996692834898962, 0.006931986964378062}}","{{0.10099678291424484, 0.0007902957470330022}, {-5.0215322252854255, 0.00684221211670825}}","{{0.10497811670316644, 0.000735091641889543}, {-5.049401561807878, 0.006641811483019342}}","{{0.10933220870833106, 0.0006829635472571085}, {-5.081331569845753, 0.006399041529396301}}","{{0.11336786018573676, 0.0006510946035031395}, {-5.112271564505864, 0.006270588191958422}}","{{0.11750378099222443, 0.0006328913413527984}, {-5.145358930957765, 0.006254451363204611}}","{{0.1215354315532355, 0.0006240542766012927}, {-5.178956018966192, 0.006304791404514998}}","{{0.12564495175460177, 0.0006312936054397241}, {-5.214571860711363, 0.006503677588658188}}","{{0.1296272397208128, 0.0006407250154273904}, {-5.250412452407264, 0.006708879225984208}}","{{0.13351406338218108, 0.0006754205475850104}, {-5.286689473246699, 0.007014477239063188}}","{{0.13737859643788597, 0.0007607837292972243}, {-5.324046626118518, 0.007861784205276142}}","{{0.1410726165091191, 0.0009028241592507144}, {-5.360986826830848, 0.009247056168583753}}","{{0.14449046610835972, 0.0010603898698586514}, {-5.396304606022999, 0.010983773216109927}}","{{0.14746290225052153, 0.0012023437721143339}, {-5.428010591539394, 0.012547010986008711}}","{{0.15040531782332256, 0.0013295253943338948}, {-5.460377162840204, 0.014040617132951936}}","{{0.15279017292952005, 0.0014879709189982557}, {-5.487405520710446, 0.01594281597501172}}","{{0.15448631014647926, 0.0016801051499707564}, {-5.507193788241634, 0.018339091246683047}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.09310569692130954, 0.0010590712335180343}, {-4.97123302306687, 0.008024189589705232}}","{{0.09599721993584655, 0.0009481922685655482}, {-4.990509843163783, 0.0077267352267341395}}","{{0.09891042788096549, 0.0008869503385296982}, {-5.010902298779614, 0.007617030453126865}}","{{0.10333178811669587, 0.0008403318617223669}, {-5.043325607174971, 0.007520209184106107}}","{{0.10778350150175223, 0.0007754112393182546}, {-5.077455409793735, 0.0072462924087049255}}","{{0.11252477030856115, 0.0007203072689549334}, {-5.115385560248208, 0.006975923000191856}}","{{0.11674777509200508, 0.0006928061005770246}, {-5.150577266776906, 0.006891950050921801}}","{{0.121034897078538, 0.0006815228544801243}, {-5.187732323993524, 0.006961000953187316}}","{{0.1251575539076749, 0.0006847314244026472}, {-5.224836235455757, 0.007163127716766049}}","{{0.12934830708352962, 0.000700821209569828}, {-5.263949931763736, 0.007496219110068722}}","{{0.13337350776316864, 0.000717669889901385}, {-5.302860205000246, 0.00782898026746501}}","{{0.13728041079868122, 0.0007557427727855976}, {-5.3419292353553685, 0.008217660343664215}}","{{0.14115803527294682, 0.0008486486555455329}, {-5.381998021589449, 0.00922548608588892}}","{{0.14484137799870186, 0.001003094180731928}, {-5.421287010664168, 0.010861889216640087}}","{{0.14821794384613737, 0.0011705627664591713}, {-5.458429234985959, 0.012830892639968667}}","{{0.1511064864776751, 0.0013183768158372608}, {-5.491166051476723, 0.014569187171392016}}","{{0.15397509482370222, 0.0014504005261194825}, {-5.524633148847039, 0.01623016170148355}}","{{0.15624145774048148, 0.0016162572926337329}, {-5.55182950384839, 0.018354542612372984}}","{{0.15777043804372606, 0.001819079515945356}, {-5.570686927588405, 0.021047987531309178}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.09847419058951175, 0.0010708079223277023}, {-5.011151265277658, 0.009039798749970521}}","{{0.10160551718035897, 0.0009831056333720989}, {-5.035158102474157, 0.008750384733429279}}","{{0.10671738579062476, 0.0009224809633002675}, {-5.076053051356283, 0.008548776419918186}}","{{0.11152447107938973, 0.0008380349770123313}, {-5.116112095429325, 0.008115929058826497}}","{{0.11655153966596066, 0.0007810579781202954}, {-5.159680023179607, 0.007833959958822297}}","{{0.1208236033059179, 0.0007620765605183602}, {-5.19812859593922, 0.00784977314597038}}","{{0.12515767946414263, 0.0007598222442985102}, {-5.238579973415982, 0.0080456527444574}}","{{0.1292803111819868, 0.0007729275729445147}, {-5.278432080021812, 0.00840001701215546}}","{{0.13348342724903106, 0.000793296518963736}, {-5.320463240692256, 0.00883202680627372}}","{{0.13749030801435913, 0.0008132525489323837}, {-5.3618676752673124, 0.009254481701273886}}","{{0.1413649191705367, 0.000852222461258549}, {-5.403196860933202, 0.009703801025163395}}","{{0.1452129888022902, 0.0009536386923558498}, {-5.445525626882492, 0.01089883545847962}}","{{0.1488467834208998, 0.001122172161567393}, {-5.486708632560068, 0.012827691519202216}}","{{0.1521447443214897, 0.001300607103136786}, {-5.525184843066954, 0.015061491250679867}}","{{0.15491113897140235, 0.0014545529573450513}, {-5.558381578865903, 0.01699438755943874}}","{{0.1576757424121295, 0.0015907846271437285}, {-5.5924783546348715, 0.01882596865316979}}","{{0.159791127995051, 0.0017641431587562305}, {-5.619273238685211, 0.021189842823907165}}","{{0.16111803930316307, 0.001977593172476106}, {-5.6365230856906665, 0.024195294476972155}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10493327748635392, 0.0011190123129715514}, {-5.066217198663443, 0.01040430690272801}}","{{0.11093720024875388, 0.001020127696381905}, {-5.118251195937574, 0.009845775438521786}}","{{0.11597919386977056, 0.0009135059690280306}, {-5.163629138526723, 0.009215047437376557}}","{{0.12119704438840889, 0.0008592127251151556}, {-5.212329076700683, 0.00896629409677862}}","{{0.1253624105762233, 0.0008481839312341153}, {-5.252594283182888, 0.009084815442586883}}","{{0.12964530395642945, 0.0008551935540104216}, {-5.29542321698495, 0.009423001212807822}}","{{0.13368682616884175, 0.0008798901473264562}, {-5.337185613179878, 0.009964050979307517}}","{{0.1378492624519232, 0.0009014208741662358}, {-5.381584933532744, 0.010464522120332203}}","{{0.14179087877405783, 0.0009242084779662716}, {-5.424942713076225, 0.010981461365814574}}","{{0.14559449666298288, 0.000963468220362585}, {-5.468050382484044, 0.011487144368794396}}","{{0.1493838727777061, 0.001073329071461735}, {-5.512259770489148, 0.012875749869533038}}","{{0.1529409403453432, 0.0012567032347122276}, {-5.554944581300789, 0.015117860756950046}}","{{0.1561327417760863, 0.0014466729450670357}, {-5.594310132279954, 0.017636450974790274}}","{{0.1587464360754134, 0.0016068466851163774}, {-5.6274169267381025, 0.01977595461812429}}","{{0.16138507555575393, 0.0017474201324216493}, {-5.661719239982529, 0.021792229552660768}}","{{0.16332335585415297, 0.0019293087529008819}, {-5.687562977294513, 0.02442860334311431}}","{{0.1644181285779506, 0.002154863788775318}, {-5.702524871186415, 0.027790638807865618}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.11585263514386664, 0.0011591995986859865}, {-5.169044023187073, 0.011558107000885661}}","{{0.12095790812784385, 0.0010305271200426686}, {-5.218394995365523, 0.010775673809143509}}","{{0.12627141315070292, 0.000983187201198544}, {-5.2715300455941145, 0.010639609856549178}}","{{0.13013377848035998, 0.0009725002000698175}, {-5.3114411540005735, 0.010807596847313805}}","{{0.1342771077108712, 0.0009793938086922194}, {-5.355636665792693, 0.011208220465184607}}","{{0.1381710595377749, 0.0010129466240098308}, {-5.398470135888633, 0.011931111284147743}}","{{0.1422619853573341, 0.0010301992192901128}, {-5.444833961843634, 0.012445660175523409}}","{{0.14610938036281487, 0.001053567606679894}, {-5.489720236907581, 0.013042503195548125}}","{{0.1498193830335878, 0.0010903937037843388}, {-5.534240268956856, 0.013573692955614967}}","{{0.1535361741056639, 0.0012093827586952283}, {-5.580080692179123, 0.015178835054497443}}","{{0.15700166724863632, 0.0014115074378581972}, {-5.623976938656775, 0.017813861702381986}}","{{0.1600693364690152, 0.0016142978534001257}, {-5.663856638521703, 0.020656468637337513}}","{{0.16250664404919518, 0.0017809566926436278}, {-5.6963540729241, 0.0230236448266313}}","{{0.16500508746785578, 0.001925147530337966}, {-5.7304994663124615, 0.0252274782346119}}","{{0.16674551698817225, 0.0021163801850220022}, {-5.754865479596894, 0.028170405500723885}}","{{0.16758169099972292, 0.0023548825527212876}, {-5.766850640429124, 0.03192513978176856}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12708838961614174, 0.0012675347600029135}, {-5.287873785566238, 0.013837378847565404}}","{{0.13199340640628762, 0.0011882799405171346}, {-5.34019396466113, 0.013401356670058937}}","{{0.1351119205655729, 0.0011568904186231772}, {-5.374497620413266, 0.01338887598376822}}","{{0.13897697884451465, 0.0011454103139629868}, {-5.418301614241273, 0.013645572306933532}}","{{0.1426406680123504, 0.0011822508223023691}, {-5.461044654532689, 0.014501616667738316}}","{{0.14663692316815735, 0.0011861227803283182}, {-5.508999716402376, 0.014918114958764035}}","{{0.15036708643911662, 0.0012084828538318855}, {-5.55500506341087, 0.01558705561889253}}","{{0.1539675484287833, 0.0012373829069310088}, {-5.6006109152799795, 0.016067258033859683}}","{{0.15760590780574701, 0.0013667210514520408}, {-5.647909587180514, 0.01791963605476525}}","{{0.16097069418920118, 0.0015921555336395037}, {-5.692773405626567, 0.02104085953218395}}","{{0.1638996929910896, 0.0018082666132953962}, {-5.732803055919041, 0.024234342048088935}}","{{0.16613799357957051, 0.001981240172015309}, {-5.76413926415777, 0.026844361787630357}}","{{0.16848538285000264, 0.002127692267385329}, {-5.79778517703397, 0.029227967776268415}}","{{0.1700083291375903, 0.0023282560589934034}, {-5.820121722585254, 0.03249657984872449}}","{{0.17055901630939194, 0.0025803360320719895}, {-5.82838203016228, 0.03667745431187406}}"
