"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,"{{0.16098058948128638, 0.0030188113040588963}, {-5.2007519927354915, 0.009009721759538214}}","{{0.1411419866851971, 0.002130225188048784}, {-5.167687654742009, 0.007869854888228464}}","{{0.12975097801418803, 0.001675325162113227}, {-5.1449056373999875, 0.0072147560356162505}}","{{0.12302060232602344, 0.0013607947985918615}, {-5.1292014274609405, 0.006694800934708436}}","{{0.11845957584642132, 0.0011244628735929863}, {-5.117038690182002, 0.006219485935047551}}","{{0.11549421406998825, 0.0009533633309981493}, {-5.108142604852703, 0.005785187325072496}}","{{0.11361016344134857, 0.000822586665001562}, {-5.101862436090568, 0.0054355308029117744}}","{{0.11278860912431547, 0.0007190740407988382}, {-5.0988500702614505, 0.005129455818453349}}","{{0.11286408565899453, 0.0006522955413063952}, {-5.099151976400166, 0.004899833128443285}}","{{0.11341940356096313, 0.0006153585366044191}, {-5.101558353975359, 0.00475417661097089}}","{{0.11462264052831485, 0.0005874642065685363}, {-5.107173459823006, 0.004641679183402722}}","{{0.11601597138000112, 0.0005612638979556431}, {-5.114140114081435, 0.004548699904465609}}","{{0.11771470770836627, 0.0005262316235082941}, {-5.123200041166049, 0.004415409203160562}}","{{0.11976758682056036, 0.000513988146341841}, {-5.134833022801813, 0.004403194214733086}}","{{0.12211731657988384, 0.0005196720451427078}, {-5.148931401357755, 0.004480378899410992}}","{{0.12462443620220645, 0.0005320659229683523}, {-5.164809825632467, 0.004582405032759192}}","{{0.12718091660682668, 0.0005632431723500398}, {-5.181853028329936, 0.004763768998646456}}","{{0.12964574659623332, 0.0005986545015037774}, {-5.199106838255781, 0.005006306711401161}}","{{0.13199350196860934, 0.0006460703538094103}, {-5.216323710986537, 0.005270834699735568}}","{{0.13432419534382173, 0.0007033873832995619}, {-5.234192360196501, 0.005689453427874356}}","{{0.1366686793465167, 0.0007759236352443379}, {-5.252948232218062, 0.0062711555688894785}}","{{0.13901799611403312, 0.0008928595664881622}, {-5.272525871947363, 0.00722954589900295}}","{{0.14116619306827322, 0.0010061451433947468}, {-5.291143578884112, 0.008210175595735577}}","{{0.1429638460998025, 0.0011367709698985346}, {-5.307313437577857, 0.009417314120189622}}"
2,"{{0, 0}, {0, 0}}","{{0.1196808258987851, 0.0016170339490257652}, {-5.096150452120634, 0.00678196498547901}}","{{0.11332489328547635, 0.00136364039460426}, {-5.0792012984851445, 0.0064801767229823596}}","{{0.11047280121353001, 0.0011574311977624865}, {-5.0706450222693045, 0.0061747114103170644}}","{{0.1085740329448923, 0.0009869879255636005}, {-5.064315794707181, 0.005820636879164785}}","{{0.10758586577562862, 0.000856666718712656}, {-5.060692515086543, 0.005438366952717846}}","{{0.10720788956341963, 0.0007603434679616407}, {-5.059180610237711, 0.0051730986355990405}}","{{0.10762649514880802, 0.0006790596355983672}, {-5.060994567774395, 0.0049271195420643645}}","{{0.10874948978552368, 0.0006349850074086252}, {-5.0662352094123975, 0.0047785059777001645}}","{{0.11015388291939106, 0.0006217895467362703}, {-5.073257175081738, 0.004749082064830796}}","{{0.11210191282156295, 0.0006085816928734622}, {-5.08364666789332, 0.0047281060468906564}}","{{0.11409740652839374, 0.0005895704090604021}, {-5.094954465565362, 0.00469672260684997}}","{{0.11631290016818356, 0.0005560675471101531}, {-5.108247427404101, 0.004586242925062472}}","{{0.1188264041673613, 0.0005506224862825972}, {-5.12416628606556, 0.0046570365169091785}}","{{0.12158749797824996, 0.0005574498039595735}, {-5.142573578138148, 0.004779375690321817}}","{{0.1244519044504496, 0.000568153956109893}, {-5.162624423443549, 0.004898535964930735}}","{{0.12731160842800102, 0.0005998884448847493}, {-5.183595585945591, 0.005120577785154495}}","{{0.130022137171958, 0.0006371105253443532}, {-5.204376306315928, 0.005423827064108993}}","{{0.13256702902399944, 0.0006885573905082208}, {-5.22473544113226, 0.005777005538399169}}","{{0.13506507157252826, 0.000749242945332262}, {-5.24555246237, 0.006288718114062074}}","{{0.13755533810013107, 0.0008284273275643308}, {-5.267134772275892, 0.00702370476686598}}","{{0.14003184252103032, 0.0009536125898434866}, {-5.289423312063983, 0.008171738006243002}}","{{0.1422745686875408, 0.0010741652444736366}, {-5.310355422951414, 0.009333824423969773}}","{{0.14412688033389492, 0.0012133035566987958}, {-5.328248053791522, 0.010751442170985967}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10355644260479129, 0.0013356918259865953}, {-5.03687134553551, 0.006840638959049715}}","{{0.10416252983721633, 0.0011516594651030533}, {-5.039093665387736, 0.006548936084133069}}","{{0.10402836281164701, 0.0010052818567437187}, {-5.0385569972854585, 0.006208926102735078}}","{{0.10422602996371154, 0.000882202287991497}, {-5.039413554944406, 0.005773030754063584}}","{{0.10470001363713376, 0.0007956440461599945}, {-5.041625478753707, 0.005525177869997408}}","{{0.10585023960043967, 0.000722900914316297}, {-5.047376608570237, 0.0053075275665487075}}","{{0.10761751205606401, 0.0006910936888282683}, {-5.056802061666903, 0.0052256503314258166}}","{{0.10952917936259615, 0.0006835639052997105}, {-5.067634843070582, 0.005250118721863437}}","{{0.11194497898458033, 0.0006726135393908781}, {-5.082129640802486, 0.005272105431778608}}","{{0.11429921061538005, 0.0006511005514355382}, {-5.09703977446422, 0.005252209613796588}}","{{0.11682450264790889, 0.0006106833814352391}, {-5.113875054681079, 0.005107980791073661}}","{{0.11962399257843696, 0.0006036749375883761}, {-5.133471484194774, 0.005202792185098738}}","{{0.12264688710930036, 0.0006090212134316559}, {-5.155639377421107, 0.005348522030309028}}","{{0.12573692074914425, 0.0006182339230126243}, {-5.1793296353265745, 0.005486810340386313}}","{{0.12878188210067837, 0.0006516522144061601}, {-5.203689326138849, 0.005766262565024221}}","{{0.13163021696366675, 0.0006901087523395276}, {-5.227425449997086, 0.006127616073949064}}","{{0.13427372061153262, 0.0007450420517195265}, {-5.250335814945259, 0.006571062494855577}}","{{0.13685089825616079, 0.0008074147922761277}, {-5.27353041374691, 0.007154535110331872}}","{{0.13940825429271325, 0.000891526990851194}, {-5.2973990700880655, 0.008019273131452388}}","{{0.14194144855255064, 0.0010236532393792868}, {-5.321886614599829, 0.009335711929720613}}","{{0.14421314168732105, 0.0011497263943806536}, {-5.344603545947533, 0.010648816147339753}}","{{0.1460579374572155, 0.0012962045994364547}, {-5.363650767719064, 0.012257238475034727}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10472295583264364, 0.0011871283277253245}, {-5.042082604030016, 0.0070914533607908305}}","{{0.10424149229657881, 0.001048501016217016}, {-5.039835774195049, 0.0067234058296585806}}","{{0.10443297451549739, 0.0009161019525526717}, {-5.040793185289643, 0.006156598441024949}}","{{0.10499597122946311, 0.0008318777654602183}, {-5.043795834430794, 0.0059183326744524185}}","{{0.10639027387019272, 0.0007715856736278506}, {-5.05169688272826, 0.0057807797648178165}}","{{0.10846435587228384, 0.0007555637690016512}, {-5.064141374740809, 0.005815293107213513}}","{{0.11061265062110777, 0.0007539727415758756}, {-5.077747241483357, 0.005911136911740076}}","{{0.11329491591578654, 0.0007417954145954936}, {-5.095629010114549, 0.005959809196548098}}","{{0.11583174658287611, 0.000715782997687396}, {-5.113386824784177, 0.005939109945664405}}","{{0.11852249795957702, 0.0006676936319082298}, {-5.133119001546651, 0.005754540652572346}}","{{0.12149144860069848, 0.0006590037244490814}, {-5.155880956461914, 0.005873120584053838}}","{{0.12467940577564857, 0.0006645263535295518}, {-5.181384613861519, 0.0060584399134228075}}","{{0.12791044141195793, 0.0006731842324082623}, {-5.20830991083076, 0.006224992471923673}}","{{0.13106433284958255, 0.000708920522879295}, {-5.235643636623507, 0.006569404421640727}}","{{0.1339792423142278, 0.0007490186119315026}, {-5.261877821805317, 0.006993566039287}}","{{0.13665546577290505, 0.0008087746648336002}, {-5.2868559074196355, 0.007548413582301176}}","{{0.13925321525787593, 0.0008727346430748012}, {-5.311967485774354, 0.00820143312311297}}","{{0.14182607519791257, 0.0009615631254200277}, {-5.337696085174722, 0.009192932080470928}}","{{0.1443702573962867, 0.001100239564729503}, {-5.363985967891255, 0.010670130432149021}}","{{0.14662766728478735, 0.0012316703763061584}, {-5.388065006701925, 0.012132055542762936}}","{{0.14842253156620838, 0.001386123855825404}, {-5.407789857753599, 0.013946011849352817}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10415298650800756, 0.0011657657100545224}, {-5.039275237534096, 0.0076830395436634814}}","{{0.10448446273066664, 0.0009874837333320608}, {-5.041153602795827, 0.006769967412494359}}","{{0.10525206284415449, 0.0009011900416922628}, {-5.0457592034767575, 0.006562537748473095}}","{{0.10702576916022837, 0.0008542992164070746}, {-5.056992676811893, 0.0065594790853685725}}","{{0.10951087593719272, 0.0008491735519003927}, {-5.073560055324985, 0.006713503981632683}}","{{0.11193461435699563, 0.0008489117986088872}, {-5.090526224263607, 0.006866585352093072}}","{{0.11491916888696148, 0.000829589576652619}, {-5.112412957483357, 0.006903662804516487}}","{{0.11763851509323384, 0.000793540947359817}, {-5.133261278398113, 0.006838470632396752}}","{{0.12048999062745111, 0.0007352137032315126}, {-5.156073082671847, 0.006593200941212723}}","{{0.12362585093078138, 0.0007253804372066453}, {-5.18220525186627, 0.006746468437514306}}","{{0.1269758934664795, 0.000730869560975938}, {-5.211238953842315, 0.006973553190087757}}","{{0.13034043595214337, 0.0007385738012979587}, {-5.241519836213296, 0.007167092334861568}}","{{0.13359084697609316, 0.0007768416563707885}, {-5.271857005770158, 0.007583718081181264}}","{{0.136554305858005, 0.0008178498373099219}, {-5.300503774961974, 0.00806405609985092}}","{{0.13924243048314122, 0.0008824139220960231}, {-5.327385021213335, 0.008735749378997897}}","{{0.1418413782764164, 0.0009473646298858664}, {-5.354240815077179, 0.009451842119550405}}","{{0.14441262736608376, 0.0010407878919936272}, {-5.381667472033632, 0.010572132178377748}}","{{0.14695257256747818, 0.0011860263086391181}, {-5.40960686924897, 0.012213814588071642}}","{{0.14917903909572267, 0.0013228829514069305}, {-5.434840156569072, 0.013830728480290556}}","{{0.1509049175887284, 0.0014859742467855845}, {-5.454955192181481, 0.015871895379455474}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10428298720209636, 0.0010392253342011576}, {-5.0396761155863095, 0.007254472906011117}}","{{0.10553512513660944, 0.0009511772281023097}, {-5.048023701816396, 0.007170609589430816}}","{{0.10790508906213139, 0.0009282567284659306}, {-5.0646134492950505, 0.0074200922996077315}}","{{0.11092545813078329, 0.0009434825537441487}, {-5.086762822465166, 0.007772900366474921}}","{{0.11363752690093294, 0.0009500939080139281}, {-5.10755534970298, 0.008028103836635356}}","{{0.11694249192740563, 0.0009234986167172171}, {-5.133995069914762, 0.008048430509185906}}","{{0.11981650994830564, 0.0008753219066139934}, {-5.157945220088926, 0.007914548124458095}}","{{0.12280268161835332, 0.0008060401599618974}, {-5.183825374562677, 0.007601423205399444}}","{{0.12608820906939677, 0.0007982356886774216}, {-5.2133951216220655, 0.007823678952108497}}","{{0.1295861990046094, 0.0008052696775347622}, {-5.246043027684052, 0.008108164255506027}}","{{0.13306677794373992, 0.0008143379607713917}, {-5.279688624095645, 0.008356124109657477}}","{{0.1363920559723112, 0.0008576309864235188}, {-5.312941404381359, 0.008878491635484929}}","{{0.13937714817231556, 0.0009004521020574542}, {-5.343787357114735, 0.009428993300797035}}","{{0.14204843308630555, 0.0009712542972896385}, {-5.3722810628639595, 0.0102439600855631}}","{{0.14462302149018155, 0.0010361136248257779}, {-5.4006015353065955, 0.011008561166867124}}","{{0.14717089345494916, 0.0011332264728601395}, {-5.429477417573966, 0.012245430594704114}}","{{0.14968785751029412, 0.0012845606725925853}, {-5.458841998219652, 0.014046669448607779}}","{{0.15186344219708148, 0.0014264634380119566}, {-5.484949014461104, 0.015816765609243822}}","{{0.15349780682370529, 0.0015982042680563395}, {-5.5050843840577, 0.01809258751181586}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10683567700133195, 0.0010092726215059128}, {-5.058861634022418, 0.008106827175712136}}","{{0.10974034695725435, 0.001023070069115994}, {-5.081130770351156, 0.008685859401108716}}","{{0.1132347604953186, 0.0010553521225871007}, {-5.109086078655673, 0.009176517108042195}}","{{0.11608108473400573, 0.001063480042004663}, {-5.132805447311401, 0.00946996733969944}}","{{0.11963216610144846, 0.0010214337882858636}, {-5.163581485829235, 0.009383961996328832}}","{{0.12255227008406472, 0.000957670640429713}, {-5.189862421672782, 0.009139770441713973}}","{{0.12559408876173073, 0.0008762385659028796}, {-5.218252729330995, 0.008745584227073689}}","{{0.12897844027430827, 0.0008757549512411494}, {-5.250968127285916, 0.009095149467877798}}","{{0.13258693179684816, 0.0008889944903590514}, {-5.287053042511314, 0.009489365527831455}}","{{0.13614748509379349, 0.0009030357908114423}, {-5.323845426579748, 0.00983702805796498}}","{{0.13951038941136765, 0.0009531711435629915}, {-5.359716405967204, 0.010489947826093188}}","{{0.14247644714865093, 0.0009982828571170363}, {-5.392343041077319, 0.011119060855476821}}","{{0.14509066352099437, 0.001075855305793723}, {-5.421970826630545, 0.012089520056691167}}","{{0.1476067966710187, 0.0011403154175931545}, {-5.4513257133808315, 0.0129018040142062}}","{{0.15010338590448413, 0.0012402324598336338}, {-5.481284784182414, 0.014244284611807162}}","{{0.1525741801382524, 0.0013976641818117589}, {-5.511757913065558, 0.016210386930397645}}","{{0.15467495030491643, 0.0015437349686315879}, {-5.538367668509966, 0.018123034978924524}}","{{0.15619142007591613, 0.0017239479251006525}, {-5.558058778017845, 0.020638687758876898}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.11206189695257249, 0.001233606080056325}, {-5.102798570307459, 0.011123781461967021}}","{{0.11614274226200832, 0.0012371441709899344}, {-5.13816589632257, 0.011321726072152677}}","{{0.11896440348949171, 0.0012119815117095083}, {-5.163560847369918, 0.011331254590414359}}","{{0.12273807239425721, 0.0011288803428724818}, {-5.198781757147733, 0.010884753368430937}}","{{0.12560509000253037, 0.0010427851890084227}, {-5.22649626069437, 0.010469391062215882}}","{{0.1286441583699978, 0.000947605110890042}, {-5.256886944369046, 0.009988737711118694}}","{{0.1321027947501997, 0.0009620319661959649}, {-5.292626186964468, 0.010565250056015362}}","{{0.1358081136820686, 0.000986048559990709}, {-5.332149588904399, 0.011131630860694072}}","{{0.1394303708720549, 0.0010097408073615544}, {-5.37199441799425, 0.011648922896894013}}","{{0.14280661161284874, 0.0010684077198271648}, {-5.410258479723244, 0.012464591717219526}}","{{0.14572187481717805, 0.001114438585002902}, {-5.444269883773754, 0.013159858420205653}}","{{0.14824591814720928, 0.0011981112699313038}, {-5.4745584037341315, 0.014285048517293276}}","{{0.1506768351004083, 0.0012618039941116284}, {-5.5045397128235845, 0.015148537914003779}}","{{0.15310174318438333, 0.0013649011029692225}, {-5.535255215220603, 0.01661469385534977}}","{{0.1555104711774302, 0.0015287919111128948}, {-5.566568679130208, 0.018764206973514767}}","{{0.15751840569159264, 0.0016778595698411123}, {-5.593341139319044, 0.02080771499367541}}","{{0.158894966751416, 0.001866177234840827}, {-5.6121297115278415, 0.023568044427979433}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12022027576067253, 0.0014929642496207644}, {-5.1803004091421, 0.01418638457348753}}","{{0.12241400085257385, 0.0013691273186099552}, {-5.201506418363821, 0.01329271677016324}}","{{0.12631729837400754, 0.0012314047676641366}, {-5.240539393578153, 0.012376223182900147}}","{{0.12894691319179086, 0.0011210634264080183}, {-5.267712080028583, 0.011800676856667209}}","{{0.1318994801816028, 0.0010201502805514695}, {-5.299206127919913, 0.011356399657163813}}","{{0.1354089452039528, 0.0010644982795250664}, {-5.33781024316576, 0.012355011106468371}}","{{0.1392029682420698, 0.0011034363545949681}, {-5.380809170931082, 0.013151600694852772}}","{{0.14287070595805448, 0.0011378202679224352}, {-5.423599444284243, 0.013860686250077981}}","{{0.14623529318153747, 0.0012063943543188069}, {-5.46397449096604, 0.014868064984479878}}","{{0.1490649866584732, 0.0012521566101306822}, {-5.498874043848242, 0.015620548507451953}}","{{0.15146301944831023, 0.0013424712723185575}, {-5.529249125852848, 0.016921688866381818}}","{{0.1537816243518091, 0.0014038137110314807}, {-5.559390989598333, 0.017820510906269824}}","{{0.15611588161346052, 0.0015099162837625322}, {-5.590514419753681, 0.019420312217652575}}","{{0.15844893330200358, 0.0016804437219642508}, {-5.622399459497102, 0.021769933281813997}}","{{0.16034739397964734, 0.001831018223842084}, {-5.6489779089841194, 0.02392728492812809}}","{{0.16156240547590395, 0.002026872408368894}, {-5.666367632259095, 0.02693517447157851}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12523897389082309, 0.0015805669911395249}, {-5.233522779463982, 0.016089177843826928}}","{{0.12968143365385515, 0.0013597686865942532}, {-5.280909016936322, 0.014426901062047852}}","{{0.1320172402868121, 0.0012269951598299063}, {-5.3066028898988495, 0.013731769167945839}}","{{0.13493055390821873, 0.0011375730199029367}, {-5.3396204442747885, 0.013542305639109435}}","{{0.13857670215792187, 0.0012212978350548977}, {-5.382158840521325, 0.015057996283928307}}","{{0.14252729171707787, 0.001268731879334955}, {-5.429565915231201, 0.015991989316667895}}","{{0.14627134370883402, 0.0013070803598504085}, {-5.475742556462861, 0.01680385109027721}}","{{0.1496287208268572, 0.0013798836536437814}, {-5.518269333291151, 0.017928775336761484}}","{{0.15235591718226887, 0.0014186838029760925}, {-5.5537228859115055, 0.018643613392542842}}","{{0.15460513368311296, 0.0015137169060205895}, {-5.583712439256092, 0.020102881800047746}}","{{0.156797044843334, 0.0015703172156630834}, {-5.61366855844578, 0.021008375346965546}}","{{0.15903399307214625, 0.0016795262003336169}, {-5.644985833649152, 0.02275951990943105}}","{{0.16128903679133735, 0.0018567761076219973}, {-5.677308126957558, 0.025326530510225154}}","{{0.16306979211751974, 0.0020069660647830446}, {-5.703425871741565, 0.027574362755746883}}","{{0.16410715137709248, 0.002209194727188018}, {-5.718959047550325, 0.030820350353489116}}"
